time,compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),memory,throughput_increase(%),size_decrease(%),memory_decrease(%),performance(%),accepted,writing_time,processing_time,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,res_13,res_14,res_15,res_16,res_17,res_18,res_19
23-04-25_10:28:26,lz4,1048576,41943040,1,1248.38,1096750927,373056,55.984,0.610,-5.700,16.965,False,37.524,29.062,1247.6,1246.7,1255.2,1251.7,1240.0,1234.2,1253.9,1251.7,1253.8,1250.4,1234.3,1230.7,1251.4,1254.6,1254.3,1246.6,1253.7,1250.2,1254.7,1251.7
23-04-25_10:29:30,lz4,524288,31457280,1,1237.42,1097845346,352852,54.615,0.511,0.025,18.384,True,35.130,29.171,1264.9,1245.2,1229.3,1251.0,1219.8,1230.7,1250.3,1243.1,1231.2,1234.3,1255.2,1251.6,1242.5,1245.5,1245.3,1228.9,1208.8,1217.9,1224.6,1228.5
23-04-25_10:30:36,lz4,262144,31457280,1,1136.08,1098921524,374492,41.952,0.414,-6.106,12.086,False,34.548,31.850,1137.7,1138.4,1131.1,1128.0,1185.5,1113.5,1284.3,1148.9,1122.4,1114.4,1117.1,1096.5,1114.1,1141.8,1122.6,1125.4,1132.1,1121.4,1114.1,1132.2
23-04-25_10:31:44,lz4,524288,41943040,1,1202.05,1097745211,356400,50.194,0.520,-0.980,16.578,False,36.658,30.683,1184.1,1178.9,1192.9,1337.0,1195.8,1204.9,1191.0,1189.2,1181.5,1163.8,1195.9,1182.9,1182.1,1191.2,1182.4,1187.2,1195.4,1183.5,1192.4,1329.0
23-04-25_10:32:50,lz4,524288,41943040,1,1191.15,1097745211,353580,48.833,0.520,-0.181,16.391,False,36.092,30.381,1179.5,1193.5,1176.7,1179.1,1190.2,1200.0,1196.9,1202.8,1184.9,1183.1,1194.3,1185.0,1187.1,1185.8,1187.7,1181.7,1194.6,1213.3,1203.4,1203.6
23-04-25_10:33:55,lz4,524288,31457280,2,1275.14,1097845346,417644,59.327,0.511,-18.333,13.835,False,35.619,29.176,1273.2,1262.8,1266.3,1274.6,1276.6,1272.6,1274.1,1301.9,1277.2,1277.6,1288.4,1278.4,1266.4,1278.3,1261.5,1269.8,1287.6,1255.5,1274.3,1285.6
23-04-25_10:35:01,lz4,524288,41943040,1,1221.05,1097745211,354656,52.569,0.520,-0.486,17.534,True,35.784,30.210,1227.4,1231.2,1228.8,1219.3,1232.3,1216.9,1230.7,1224.8,1205.8,1211.1,1216.0,1201.1,1225.6,1214.7,1234.7,1222.3,1224.6,1220.7,1215.6,1217.4
23-04-25_10:36:08,lz4,262144,41943040,1,1107.81,1099067983,350448,38.420,0.400,0.706,13.175,False,35.557,31.389,1123.3,1096.2,1102.0,1093.1,1135.5,1095.1,1096.4,1103.1,1097.4,1118.8,1083.8,1086.8,1126.9,1084.1,1129.6,1165.6,1118.2,1095.8,1107.1,1097.2
23-04-25_10:37:16,lz4,1048576,41943040,1,1245.55,1096750927,372420,55.630,0.610,-5.519,16.907,True,38.282,29.610,1233.5,1236.2,1273.8,1252.7,1256.4,1264.0,1235.8,1228.5,1228.0,1262.0,1239.0,1248.0,1243.9,1272.4,1239.8,1176.4,1233.7,1271.7,1258.6,1256.4
23-04-25_10:38:25,lz4,1048576,41943040,2,1204.00,1096750927,433840,50.439,0.610,-22.922,9.376,False,37.816,30.659,1213.9,1218.0,1206.3,1231.7,1185.0,1222.7,1215.2,1175.3,1201.6,1230.3,1157.9,1235.8,1208.5,1116.0,1192.9,1210.5,1199.5,1212.4,1238.3,1208.3
23-04-25_10:39:19,zstd,1048576,41943040,1,1164.99,1018285568,369256,45.565,7.721,-4.623,16.221,False,24.450,28.999,1124.7,1134.0,1208.3,1208.2,1187.5,1120.7,1138.5,1135.4,1123.9,1144.7,1121.2,1133.7,1128.9,1197.3,1232.6,1200.6,1217.3,1232.9,1182.5,1127.1
23-04-25_10:40:25,lz4,524288,41943040,1,1222.01,1097745211,352496,52.689,0.520,0.126,17.778,True,36.649,30.148,1181.0,1204.8,1215.6,1199.6,1228.4,1220.1,1215.3,1229.9,1226.4,1222.1,1201.3,1231.9,1185.2,1373.1,1209.0,1216.4,1224.8,1201.0,1243.8,1210.5
23-04-25_10:41:19,zstd,524288,41943040,1,1137.22,1020561916,353304,42.094,7.515,-0.103,16.502,False,23.461,29.556,1073.7,1117.2,1077.1,1067.8,1129.2,1081.1,1113.5,1184.8,1188.5,1098.5,1081.1,1173.6,1129.4,1188.1,1191.9,1170.0,1207.1,1100.6,1143.7,1227.5
23-04-25_10:42:27,lz4,524288,41943040,2,1211.12,1097745211,408780,51.328,0.520,-15.821,12.009,False,37.158,30.864,1231.5,1207.4,1168.6,1207.8,1203.9,1223.5,1229.1,1215.8,1208.4,1230.8,1238.9,1206.2,1202.5,1207.2,1218.1,1201.7,1231.8,1186.8,1188.9,1213.6
23-04-25_10:43:34,lz4,524288,52428800,1,1174.14,1097689553,376964,46.707,0.525,-6.807,13.475,False,36.336,30.861,1172.3,1153.8,1167.4,1171.4,1152.0,1181.1,1127.1,1190.5,1206.5,1164.0,1190.8,1166.0,1178.5,1167.9,1165.7,1189.6,1190.8,1196.3,1169.6,1181.3
23-04-25_10:44:28,zstd,524288,41943040,1,1092.71,1020561916,351056,36.533,7.515,0.534,14.861,False,22.789,31.462,1099.5,1095.1,1114.7,1083.2,1084.1,1104.7,1114.3,1072.9,1116.6,1113.8,1094.2,1083.1,1058.6,1094.9,1086.7,1080.5,1089.9,1086.1,1098.2,1083.5
23-04-25_10:45:36,lz4,524288,41943040,2,1200.44,1097745211,398252,49.994,0.520,-12.838,12.558,False,36.328,31.217,1207.9,1192.9,1195.2,1187.1,1171.2,1198.3,1185.9,1171.9,1188.8,1206.9,1201.8,1192.8,1225.5,1232.7,1199.7,1196.5,1211.9,1216.4,1208.8,1216.6
23-04-25_10:46:44,lz4,524288,41943040,2,1209.66,1097745211,407004,51.146,0.520,-15.318,12.116,False,36.274,31.563,1184.0,1194.3,1164.9,1206.1,1348.9,1197.8,1195.0,1188.3,1185.0,1200.0,1201.1,1204.6,1224.5,1193.4,1198.5,1224.3,1222.1,1213.0,1195.8,1251.5
23-04-25_10:47:50,lz4,524288,41943040,2,1220.09,1097745211,406044,52.449,0.520,-15.046,12.641,False,36.267,30.279,1212.1,1196.0,1205.6,1188.7,1228.9,1212.4,1205.1,1251.0,1212.9,1242.7,1199.4,1214.1,1246.7,1230.0,1222.8,1231.8,1227.9,1214.5,1211.9,1247.1
23-04-25_10:48:58,lz4,524288,31457280,1,1220.39,1097845346,352376,52.486,0.511,0.160,17.719,True,36.069,31.031,1217.4,1234.9,1213.6,1225.4,1273.4,1188.5,1225.5,1229.7,1230.0,1229.7,1210.0,1205.2,1247.7,1202.7,1225.8,1197.1,1228.3,1187.1,1219.7,1215.9
23-04-25_10:50:04,lz4,524288,31457280,2,1263.54,1097845346,430020,57.878,0.511,-21.839,12.183,False,36.162,29.910,1246.4,1262.6,1253.7,1253.0,1238.5,1247.2,1252.8,1260.4,1241.9,1398.1,1249.4,1273.3,1247.5,1239.0,1237.5,1259.2,1272.8,1306.0,1286.3,1245.2
23-04-25_10:51:09,lz4,524288,20971520,1,1307.34,1097420628,349388,63.351,0.550,1.006,21.636,True,37.150,28.472,1312.2,1296.4,1306.3,1311.0,1321.1,1341.1,1274.0,1304.7,1317.4,1290.5,1307.9,1298.1,1300.2,1302.9,1322.1,1326.9,1320.0,1282.4,1301.6,1310.1
23-04-25_10:52:16,lz4,1048576,20971520,1,1336.91,1096766552,369260,67.045,0.609,-4.624,21.010,False,38.492,28.162,1315.0,1309.5,1294.3,1306.8,1273.2,1263.5,1291.7,1264.9,1328.8,1327.3,1248.7,1260.1,1300.9,1290.3,1310.3,1485.3,1459.5,1445.2,1458.0,1505.0
23-04-25_10:53:23,lz4,524288,31457280,1,1247.13,1097845346,352860,55.827,0.511,0.023,18.787,False,36.857,29.761,1225.1,1238.7,1201.3,1230.2,1220.4,1247.1,1224.8,1289.8,1278.3,1231.3,1393.5,1227.6,1232.1,1241.8,1229.0,1264.8,1263.8,1251.3,1223.4,1228.2
23-04-25_10:54:29,lz4,524288,31457280,1,1269.63,1097845346,353552,58.640,0.511,-0.173,19.659,False,36.353,29.402,1275.9,1361.3,1250.3,1255.9,1256.1,1251.3,1294.8,1254.8,1314.6,1249.1,1295.5,1251.0,1259.0,1227.8,1238.0,1276.3,1281.5,1270.9,1249.6,1278.9
23-04-25_10:55:34,lz4,524288,31457280,1,1272.71,1097845346,378288,59.024,0.511,-7.182,17.451,False,36.322,29.314,1283.4,1260.1,1292.0,1265.4,1251.1,1221.3,1294.4,1238.0,1242.6,1249.4,1278.9,1277.4,1277.3,1269.5,1312.0,1276.0,1309.4,1267.0,1302.8,1286.2
23-04-25_10:56:40,lz4,524288,10485760,1,1308.29,1097464908,320496,63.469,0.546,9.192,24.402,True,36.825,28.652,1266.1,1331.3,1323.7,1324.9,1319.6,1297.1,1283.7,1319.2,1330.8,1290.3,1321.7,1282.4,1317.1,1318.4,1301.4,1310.8,1331.8,1276.2,1321.3,1298.1
23-04-25_10:57:47,lz4,524288,10485760,2,1308.78,1097464908,361196,63.531,0.546,-2.339,20.579,False,37.000,29.778,1276.8,1280.8,1301.4,1295.0,1265.1,1307.1,1299.8,1279.6,1486.5,1275.9,1308.6,1307.9,1287.5,1287.7,1308.1,1299.2,1282.8,1294.2,1276.8,1454.7
23-04-25_10:58:52,lz4,1048576,10485760,1,1322.59,1097453689,320864,65.256,0.547,9.088,24.964,True,36.491,28.225,1336.2,1301.6,1327.2,1331.6,1311.3,1301.7,1313.7,1335.4,1331.4,1343.9,1313.5,1309.9,1319.7,1345.2,1330.0,1348.6,1314.3,1342.3,1285.0,1308.9
23-04-25_10:59:57,lz4,1048576,20971520,1,1337.61,1096766552,368844,67.132,0.609,-4.506,21.078,False,37.672,27.979,1369.8,1347.0,1334.9,1369.9,1320.2,1342.8,1287.7,1326.5,1335.6,1337.0,1363.8,1326.7,1367.4,1339.1,1327.0,1339.9,1310.1,1345.8,1315.7,1345.3
23-04-25_11:01:03,lz4,1048576,10485760,2,1320.46,1097453689,352772,64.990,0.547,0.048,21.861,False,37.071,28.979,1324.3,1322.6,1323.0,1313.4,1316.9,1322.9,1315.4,1313.6,1325.0,1328.8,1321.8,1322.6,1328.1,1296.9,1313.7,1324.5,1335.9,1330.3,1311.9,1317.5
23-04-25_11:02:09,lz4,1048576,20971520,1,1373.28,1096766552,369908,71.590,0.609,-4.808,22.464,False,37.759,27.652,1323.3,1383.4,1386.4,1392.7,1367.7,1390.9,1346.4,1377.1,1400.1,1383.0,1346.1,1408.5,1325.8,1394.5,1360.3,1393.3,1346.7,1373.3,1391.4,1374.6
23-04-25_11:03:15,lz4,1048576,10485760,2,1323.37,1097453689,362132,65.353,0.547,-2.604,21.098,False,37.903,28.329,1285.5,1277.1,1475.0,1330.4,1324.1,1330.7,1341.4,1337.8,1281.9,1330.6,1300.3,1319.1,1332.6,1300.2,1317.3,1318.4,1327.6,1322.0,1316.8,1298.7
