time,compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),memory,throughput_increase(%),size_decrease(%),memory_decrease(%),performance(%),accepted,writing_time,processing_time,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,res_13,res_14,res_15,res_16,res_17,res_18,res_19
23-04-25_08:29:34,lz4,8388608,104857600,2,1000.79,2259762968,339080,107.787,2.018,-14.412,31.797,False,110.334,20.610,1001.2,997.1,999.2,998.3,999.6,994.3,1002.4,1000.2,989.6,1033.1,1006.0,1001.9,998.2,996.1,1002.6,990.7,1000.3,996.3,1005.2,1003.7
23-04-25_08:31:45,lz4,8388608,104857600,2,1047.84,2259762968,338796,117.556,2.018,-14.316,35.086,False,110.646,20.447,1026.7,1051.3,1032.2,1086.5,1042.2,1052.4,1057.2,1045.3,1038.5,1050.1,1051.0,1048.4,1045.5,1038.0,1048.2,1043.3,1047.7,1026.9,1055.1,1070.3
23-04-25_08:33:56,lz4,4194304,104857600,1,1030.49,2259784018,313500,113.954,2.017,-5.781,36.730,False,110.503,20.342,1032.5,1027.3,1027.2,1031.3,1063.1,1016.2,1018.7,1028.7,1034.0,1021.7,1045.0,1027.9,1030.3,1026.1,1046.3,1031.2,1024.1,1018.7,1023.6,1035.7
23-04-25_08:36:06,lz4,16777216,104857600,1,1033.87,2272934648,329504,114.655,1.446,-11.181,34.973,False,109.390,20.348,1031.7,1030.1,1035.6,1028.5,1054.4,1018.6,1016.5,1040.7,1017.3,1047.9,1040.8,1039.6,1050.1,1029.1,1023.0,1014.5,1037.1,1039.3,1050.7,1031.9
23-04-25_08:38:19,zstd,8388608,104857600,1,864.92,1946454776,321928,79.577,15.602,-8.624,28.852,False,111.878,21.561,859.8,853.4,845.0,863.7,883.5,854.1,854.2,857.0,859.2,855.5,860.7,877.2,863.5,890.4,888.9,859.1,856.6,860.2,887.7,868.9
23-04-25_08:40:30,lz4,16777216,104857600,1,1032.20,2272934648,330712,114.308,1.446,-11.588,34.722,False,109.996,20.278,1040.0,1030.9,1031.8,1019.9,1036.5,1030.4,1033.9,1022.2,1031.3,1037.3,1044.8,1042.1,1034.1,1019.5,1026.8,1034.3,1034.2,1036.1,1018.6,1039.2
23-04-25_08:42:40,lz4,8388608,104857600,2,1031.78,2259762968,337480,114.222,2.018,-13.872,34.122,False,110.211,20.416,1040.0,1036.8,1014.6,1035.6,1040.5,1025.1,1038.9,1037.1,1039.0,1007.6,1038.7,1026.5,1036.6,1037.5,1029.9,1030.8,1033.5,1030.2,1036.1,1020.7
23-04-25_08:44:53,zstd,8388608,104857600,1,869.71,1946454776,320932,80.573,15.602,-8.288,29.296,False,110.875,21.535,886.1,860.3,861.0,872.4,863.0,891.7,863.2,865.8,866.3,883.8,881.0,867.3,863.4,869.9,866.1,859.4,860.1,893.0,851.0,869.6
23-04-25_08:47:04,lz4,4194304,104857600,1,1033.36,2259784018,313388,114.549,2.017,-5.743,36.941,False,111.076,20.283,1046.3,1031.3,1041.8,1035.4,1038.6,1038.4,1031.4,1014.1,1025.8,1034.9,1023.9,1037.6,1034.3,1035.3,1034.7,1035.7,1028.6,1031.2,1029.7,1037.8
23-04-25_08:49:15,lz4,8388608,52428800,1,892.74,2263845086,290236,85.353,1.841,2.069,29.754,False,109.877,21.097,886.1,887.3,890.5,885.7,887.5,895.9,892.1,892.7,893.2,896.6,897.9,895.3,905.5,895.3,893.5,903.0,891.6,895.9,880.7,888.6
23-04-25_08:51:26,lz4,8388608,104857600,2,999.06,2259762968,339956,107.427,2.018,-14.707,31.579,False,109.972,20.678,999.6,997.7,986.9,993.6,1011.5,997.0,1003.6,1002.9,1032.3,996.8,994.8,995.5,989.8,1001.7,993.4,1014.8,1000.2,1006.7,1005.2,957.3
23-04-25_08:53:37,lz4,8388608,104857600,2,998.10,2259762968,340136,107.230,2.018,-14.768,31.493,False,110.869,20.555,1004.8,1003.4,1004.5,1000.4,994.5,1001.3,1007.6,983.3,983.1,995.3,996.3,996.2,995.4,1000.0,1002.8,999.0,1001.5,997.5,1005.6,989.5
23-04-25_08:55:51,zstd,8388608,104857600,1,893.11,1946454776,321284,85.430,15.602,-8.407,30.875,False,112.036,21.330,873.4,887.4,878.6,884.6,903.8,903.3,911.5,905.5,908.9,891.4,915.5,907.3,892.4,880.9,882.2,875.5,910.9,903.4,880.5,865.3
23-04-25_08:58:02,lz4,8388608,104857600,2,1049.43,2259762968,338992,117.887,2.018,-14.382,35.174,False,110.658,20.489,1036.3,1035.7,1049.5,1043.7,1030.9,1051.6,1055.9,1058.8,1049.5,1042.8,1057.7,1050.5,1056.0,1038.1,1057.9,1048.0,1062.5,1053.1,1052.6,1057.7
23-04-25_09:00:18,lz4,8388608,104857600,2,998.48,2259762968,338928,107.307,2.018,-14.361,31.655,False,115.813,20.689,998.9,1032.3,1003.9,998.3,1002.0,1002.4,1000.2,1001.6,980.0,983.0,985.9,999.0,993.5,996.8,993.2,993.5,999.0,1000.3,1001.6,1004.1
23-04-25_09:02:30,lz4,8388608,104857600,2,991.85,2259762968,339364,105.932,2.018,-14.508,31.147,False,111.211,20.657,995.8,993.0,993.7,990.8,996.6,998.8,991.1,978.9,992.8,988.5,990.7,998.5,994.5,976.4,999.0,996.4,975.5,1000.5,991.7,994.0
23-04-25_09:04:42,lz4,8388608,52428800,1,914.96,2263845086,294924,89.968,1.841,0.487,30.765,False,110.540,20.999,920.0,919.7,924.6,916.5,930.0,910.0,906.1,911.0,916.5,914.7,916.9,921.6,912.1,908.3,913.3,906.1,910.6,902.0,924.1,915.1
23-04-25_09:06:55,lz4,8388608,157286400,1,1041.00,2258399941,332848,116.136,2.077,-12.309,35.301,False,112.570,20.392,1037.8,1031.3,1028.7,1036.2,1041.4,1047.9,1049.5,1049.6,1046.4,1028.2,1039.5,1037.5,1053.4,1035.8,1033.9,1041.5,1061.6,1041.3,1036.4,1042.1
23-04-25_09:09:07,lz4,8388608,157286400,1,1067.22,2258399941,333252,121.580,2.077,-12.445,37.070,False,111.726,20.313,1092.8,1069.8,1056.8,1076.9,1058.7,1069.1,1044.9,1069.4,1076.0,1052.8,1074.7,1061.7,1066.4,1064.2,1065.0,1072.0,1069.4,1056.8,1066.9,1080.1
23-04-25_09:11:19,zstd,8388608,104857600,1,884.01,1946454776,321256,83.541,15.602,-8.398,30.248,False,110.267,21.430,869.6,897.5,897.9,864.6,893.9,863.6,893.8,873.4,896.1,899.0,899.7,868.4,901.4,870.9,864.8,871.6,871.0,891.3,866.0,925.6
