time,compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),memory,throughput_increase(%),size_decrease(%),memory_decrease(%),performance(%),accepted,writing_time,processing_time,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,throughput_10,throughput_11,throughput_12,throughput_13,throughput_14,throughput_15,throughput_16,throughput_17,throughput_18,throughput_19,memory_0,memory_1,memory_2,memory_3,memory_4,memory_5,memory_6,memory_7,memory_8,memory_9,memory_10,memory_11,memory_12,memory_13,memory_14,memory_15,memory_16,memory_17,memory_18,memory_19
23-04-26_08:33:26,lz4,4194304,52428800,2,890.26,2263864705,298806.40,86.264,1.840,-1.112,28.997,False,108.922,21.227,886.7,882.6,872.1,889.5,891.9,880.6,895.1,896.6,878.9,890.6,911.3,891.2,897.4,893.3,900.8,890.8,890.4,891.8,896.4,877.2,299348.0,298148.0,298628.0,299240.0,298860.0,298332.0,299992.0,298416.0,299192.0,298116.0,300028.0,298776.0,299124.0,297864.0,299292.0,298120.0,298980.0,298744.0,298132.0,298796.0
23-04-26_08:35:32,zstd,2097152,52428800,2,797.10,1954079891,300565.60,66.772,15.272,-1.708,26.779,False,104.090,21.433,790.4,788.2,790.2,816.8,819.8,780.9,815.1,785.6,813.9,788.3,815.8,781.8,803.6,792.3,787.5,789.6,791.6,796.6,781.7,812.4,300152.0,298724.0,299188.0,303376.0,302812.0,299068.0,303060.0,303168.0,302452.0,298608.0,304056.0,299096.0,300632.0,299040.0,298556.0,298768.0,298764.0,299820.0,299140.0,302832.0
23-04-26_08:37:42,lz4,2097152,52428800,1,916.25,2263906200,291335.40,91.701,1.838,1.416,31.651,True,109.136,21.166,920.1,921.0,923.5,924.5,904.4,907.8,915.5,919.4,925.2,921.8,912.7,919.6,899.1,911.9,915.8,925.6,922.8,915.4,912.0,906.6,292988.0,294500.0,289956.0,289024.0,288680.0,293652.0,288732.0,294492.0,288956.0,294188.0,289120.0,289984.0,293260.0,289472.0,294032.0,288932.0,289724.0,293348.0,289944.0,293724.0
23-04-26_08:39:52,lz4,1048576,52428800,1,906.56,2264572642,292140.00,89.675,1.809,1.143,30.876,False,109.015,21.099,899.2,906.4,966.2,904.1,911.8,903.0,906.8,900.6,894.5,898.7,898.7,892.3,911.4,909.3,916.8,909.8,900.8,903.5,896.0,901.1,291252.0,289448.0,293284.0,294344.0,294336.0,294032.0,289924.0,290004.0,295332.0,291252.0,290856.0,289460.0,292952.0,289680.0,294748.0,294324.0,291408.0,289664.0,295036.0,291464.0
23-04-26_08:42:03,lz4,2097152,52428800,2,890.20,2263906200,299592.80,86.250,1.838,-1.378,28.903,False,109.369,21.253,894.9,881.6,889.0,872.5,893.3,879.4,895.0,890.3,887.1,897.5,918.4,890.6,895.7,890.2,880.2,899.0,894.4,871.0,892.3,891.6,299184.0,299044.0,298596.0,299628.0,298856.0,298344.0,299932.0,299208.0,300908.0,300452.0,299420.0,300084.0,298456.0,300352.0,299908.0,300120.0,299576.0,301164.0,298780.0,299844.0
23-04-26_08:44:14,lz4,2097152,104857600,1,1043.83,2260127456,311645.40,118.395,2.002,-5.457,38.313,True,111.125,20.258,1035.3,1033.2,1046.9,1043.6,1045.9,1057.5,1040.9,1052.9,1054.5,1038.3,1046.8,1035.9,1042.1,1041.5,1043.7,1043.7,1040.0,1059.3,1034.0,1040.8,312380.0,310948.0,311248.0,311612.0,311188.0,311448.0,310940.0,312296.0,311224.0,312388.0,312420.0,312924.0,312188.0,311232.0,311264.0,311152.0,312248.0,311360.0,311224.0,311224.0
23-04-26_08:46:26,lz4,1048576,104857600,1,947.23,2261544877,312000.80,98.183,1.940,-5.577,31.515,False,110.641,21.062,947.3,948.6,949.9,949.5,945.3,952.1,941.6,945.8,935.1,942.9,957.5,941.8,942.3,954.7,953.7,944.0,945.7,948.5,947.5,950.9,311528.0,311968.0,313188.0,312472.0,311480.0,311488.0,313152.0,312640.0,312252.0,311112.0,311644.0,311444.0,312188.0,311440.0,311940.0,311876.0,312528.0,311476.0,312712.0,311488.0
23-04-26_08:48:36,lz4,2097152,52428800,1,896.28,2263906200,292388.80,87.523,1.838,1.059,30.140,False,109.292,21.162,904.7,888.1,888.0,881.7,899.0,903.1,892.4,898.2,904.4,889.9,896.2,894.8,892.5,900.9,888.9,895.0,905.2,895.6,911.2,895.7,293948.0,293544.0,293280.0,294912.0,288824.0,290060.0,294516.0,288712.0,294768.0,293340.0,288972.0,290368.0,293460.0,294400.0,288712.0,294972.0,294572.0,293668.0,293408.0,289340.0
23-04-26_08:50:48,lz4,2097152,157286400,1,1083.34,2258885708,340693.20,126.661,2.056,-15.286,37.810,False,111.856,19.832,1086.6,1129.8,1075.6,1067.6,1059.1,1084.2,1078.1,1071.7,1080.5,1125.3,1061.4,1074.7,1081.1,1089.3,1093.5,1082.0,1062.5,1066.9,1117.7,1079.1,336308.0,336760.0,336056.0,349584.0,350684.0,335304.0,349604.0,334832.0,335104.0,335512.0,350812.0,350280.0,335472.0,336028.0,336092.0,335540.0,349896.0,349120.0,334808.0,336068.0
23-04-26_08:53:00,lz4,2097152,104857600,2,1025.75,2260127456,336985.40,114.612,2.002,-14.032,34.194,False,111.627,20.500,1042.6,1025.4,1033.6,1030.8,1029.1,1026.7,1029.8,1008.4,1018.2,1030.1,1032.5,1024.7,1032.6,1002.9,1036.7,1023.9,1009.7,1028.2,1023.7,1025.7,340588.0,331524.0,339872.0,339516.0,338892.0,339948.0,339924.0,332752.0,332444.0,338896.0,338992.0,339348.0,338936.0,331956.0,339952.0,331536.0,331584.0,340404.0,340712.0,331932.0
