compression,Page Size,Cluster Size,Cluster Bunch,throughput,relative_throughput,size,relative_size,performance,success,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9
lz4,65536,52428800,1,727.72,1.00,1103484973,1.00,0.0,True,741.0,716.2,737.6,725.8,714.6,720.5,727.1,733.7,732.0,728.7
lz4,65536,52428800,2,723.88,0.99,1103484973,1.00,-0.0026416391066151346,True,706.7,706.5,719.7,691.4,736.4,731.0,731.2,741.2,737.3,737.3
lz4,65536,104857600,2,734.21,1.01,1103445496,1.00,0.0044726976583497335,True,738.6,730.8,731.2,738.0,731.5,738.8,731.9,726.9,744.7,729.7
lz4,65536,104857600,1,731.15,1.00,1103445496,1.00,0.0023739560676596105,True,720.3,729.2,731.3,743.3,730.0,718.7,739.8,723.4,735.2,740.3
zlib,65536,104857600,1,291.30,0.40,1056963932,0.96,-0.2787751647782246,False,284.6,290.5,288.4,293.5,293.8,290.9,290.8,294.1,293.4,293.1
zstd,65536,104857600,1,757.42,1.04,1050003130,0.95,0.044640242420876386,True,761.4,757.7,756.7,765.4,765.2,755.2,762.7,747.3,758.9,743.8
zlib,65536,104857600,1,282.87,0.39,1056963932,0.96,-0.284566968847779,False,286.9,287.9,282.2,282.3,281.9,282.3,280.3,281.4,282.6,281.1
zstd,65536,52428800,1,655.86,0.90,1050014505,0.95,-0.02514556452332195,False,650.7,659.1,658.7,657.3,657.7,653.2,662.0,656.0,648.4,655.6
zstd,65536,52428800,1,657.96,0.90,1050014505,0.95,-0.023703181259571493,False,655.0,657.1,659.1,659.7,658.5,660.5,657.4,657.1,658.3,656.9
lz4,65536,104857600,1,729.63,1.00,1103445496,1.00,0.0013244773137695565,True,718.2,727.0,730.2,729.2,736.4,735.7,721.8,722.8,737.5,737.4
lz4,131072,104857600,1,764.27,1.05,1100867673,1.00,0.02629358995120179,True,774.8,763.7,767.7,766.9,762.9,764.0,754.2,758.8,759.8,769.9
lz4,262144,104857600,1,807.18,1.11,1099061239,1.00,0.056600291029747174,True,805.1,808.0,822.3,791.1,806.5,787.2,812.1,810.4,816.1,813.2
lz4,131072,104857600,1,761.13,1.05,1100867673,1.00,0.02413800065311933,True,774.6,744.5,746.5,757.1,759.2,765.8,765.8,766.4,771.0,760.3
lz4,65536,104857600,1,734.29,1.01,1103445496,1.00,0.0045330067732937684,True,723.0,725.8,733.9,746.1,739.7,724.4,743.3,722.4,743.6,740.8
lz4,65536,104857600,2,735.45,1.01,1103445496,1.00,0.00532396696725973,True,724.7,729.8,750.5,747.2,735.8,727.5,723.4,736.1,737.5,741.8
lz4,65536,104857600,3,737.96,1.01,1103445496,1.00,0.007053637315371397,True,727.4,747.4,746.0,742.2,735.4,737.6,743.3,725.6,730.3,744.4
zstd,65536,104857600,3,752.00,1.03,1050003130,0.95,0.0409138989914537,True,745.3,759.2,754.3,752.4,752.5,745.1,759.2,747.6,753.2,751.1
zstd,65536,104857600,2,760.17,1.04,1050003130,0.95,0.04652791627461539,True,763.0,759.0,760.8,771.2,757.8,761.7,746.5,757.5,761.0,763.3
zstd,131072,104857600,2,699.37,0.96,1047619591,0.95,0.005833407356603759,False,707.2,700.5,705.5,700.1,702.4,690.7,696.5,692.0,702.4,696.4
zlib,65536,104857600,2,282.92,0.39,1056963932,0.96,-0.2845335009660015,False,280.4,284.7,283.5,282.2,283.3,282.4,283.7,283.7,281.4,283.9
zstd,65536,52428800,2,654.06,0.90,1050014505,0.95,-0.02638174061897902,False,656.9,646.5,651.6,653.1,659.5,661.5,646.3,655.8,659.0,650.4
lz4,65536,104857600,2,731.02,1.00,1103445496,1.00,0.002283040563565153,False,735.0,727.0,726.3,729.8,723.2,723.3,744.3,731.1,739.9,730.2
zstd,65536,104857600,3,755.70,1.04,1050003130,0.95,0.0434552673392028,True,759.3,754.0,754.3,757.6,744.4,758.4,754.2,762.1,759.2,753.6
zstd,65536,104857600,2,761.51,1.05,1050003130,0.95,0.04744575043625432,True,757.2,763.4,763.6,765.0,765.0,766.6,757.0,763.5,754.1,759.7
zstd,65536,52428800,2,653.48,0.90,1050014505,0.95,-0.026779573127692746,False,650.1,648.1,648.1,652.9,655.4,659.4,657.7,656.1,662.9,644.0
zstd,65536,209715200,2,761.84,1.05,1050013155,0.95,0.04766992717526075,True,758.5,764.4,765.7,767.4,759.4,766.6,769.9,750.4,753.9,762.1
zstd,131072,209715200,2,798.84,1.10,1048031519,0.95,0.07398920596986197,True,795.9,802.1,800.9,802.5,804.6,802.9,783.0,792.0,803.8,800.7
zstd,262144,209715200,2,830.02,1.14,1042611092,0.94,0.09786741756452544,True,839.1,819.8,829.3,843.5,840.9,825.0,836.3,835.6,831.8,798.9
lz4,262144,209715200,2,890.25,1.22,1099065357,1.00,0.11366706393493708,True,909.1,903.1,891.1,890.4,883.0,876.6,876.3,897.8,884.1,890.9
lz4,262144,209715200,1,877.92,1.21,1099065357,1.00,0.10520069984729719,True,869.6,880.2,872.1,879.7,835.6,889.4,885.0,893.5,887.6,886.5
lz4,131072,209715200,1,882.39,1.21,1100854862,1.00,0.10745683149326796,True,894.8,896.7,888.3,868.0,902.2,879.9,880.1,864.1,875.9,873.8
lzma,131072,209715200,1,33.37,0.05,995361655,0.90,-0.4280775013964882,False,33.0,33.3,33.3,33.4,33.4,33.3,33.5,33.5,33.5,33.5
lz4,262144,209715200,1,773.59,1.06,1099065357,1.00,0.03351434269919917,False,785.9,762.7,768.7,761.0,768.3,767.0,764.8,782.3,789.4,785.8
zstd,131072,209715200,1,681.71,0.94,1048031519,0.95,-0.00648861157527969,False,686.9,689.8,670.0,692.7,685.1,666.8,678.0,672.3,688.2,687.4
lzma,131072,209715200,1,33.43,0.05,995361655,0.90,-0.42803947433545,False,33.5,33.7,33.3,33.3,33.4,33.2,33.4,33.5,33.5,33.4
lz4,262144,209715200,1,777.36,1.07,1099065357,1.00,0.036104526412792826,False,779.1,759.8,780.2,785.5,792.6,771.4,779.9,775.3,769.6,780.1
lz4,131072,209715200,2,783.50,1.08,1100854862,1.00,0.0395162159674986,False,786.5,789.9,771.4,779.7,792.7,768.1,786.0,789.9,789.2,781.7
lz4,131072,209715200,2,791.10,1.09,1100854862,1.00,0.04473504383637278,False,783.1,791.2,794.7,791.7,791.7,800.7,799.6,784.8,793.2,780.2
lz4,131072,209715200,2,787.78,1.08,1100854862,1.00,0.04245650160768316,True,789.5,786.6,787.1,792.1,787.2,786.8,786.4,782.4,794.8,785.0
none,131072,209715200,2,1128.54,1.55,1575033797,1.43,0.06172793725962378,True,1139.6,1141.0,1129.4,1118.8,1136.8,1105.4,1141.8,1134.7,1125.2,1112.7
none,131072,209715200,3,1128.07,1.55,1575033797,1.43,0.061407253918975835,True,1139.0,1133.5,1104.6,1134.5,1137.3,1136.8,1098.7,1139.9,1135.8,1120.6
none,65536,209715200,3,931.19,1.28,1575727009,1.43,-0.0741812691404734,False,931.4,931.5,926.7,936.0,914.9,941.8,946.3,935.8,921.0,926.3
