compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),throughput_increase(%),size_decrease(%),performance(%),accepted,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9
lz4,65536,41943040,3,826.94,1103488060,0.366,-0.0,0.183,False,827.0,832.0,811.1,812.4,822.6,826.5,833.6,834.3,835.0,834.9
lz4,65536,41943040,1,822.05,1103488060,-0.228,-0.0,-0.114,False,812.6,823.8,831.1,824.8,831.1,814.8,822.1,824.0,819.4,816.7
lz4,32768,41943040,2,779.14,1107272746,-5.436,-0.343,-2.889,False,776.5,775.8,780.5,781.8,778.3,771.8,781.4,779.2,781.0,785.1
lz4,65536,41943040,1,822.19,1103488060,-0.211,-0.0,-0.106,False,821.8,823.8,820.4,827.6,821.6,816.6,823.8,824.3,817.7,824.3
lz4,65536,31457280,2,887.22,1103490635,7.682,-0.001,3.841,True,893.5,903.5,904.9,909.1,905.0,894.1,903.3,866.3,847.0,845.6
lz4,65536,41943040,2,811.64,1103488060,-1.492,-0.0,-0.746,False,818.4,796.3,789.6,830.0,808.2,816.0,822.5,812.3,821.6,801.4
lz4,32768,31457280,2,755.23,1107255602,-8.338,-0.342,-4.34,False,754.0,742.0,754.9,748.1,757.2,760.4,758.9,761.7,755.1,759.9
lz4,65536,41943040,2,815.82,1103488060,-0.984,-0.0,-0.492,False,822.3,829.6,803.8,815.0,802.3,806.4,823.1,822.4,816.2,817.2
lz4,65536,41943040,2,817.96,1103488060,-0.724,-0.0,-0.362,False,826.7,828.6,823.5,815.3,815.1,820.6,805.1,818.3,802.9,823.6
zstd,65536,31457280,2,741.92,1050007723,-9.953,4.846,-2.553,False,737.3,735.4,749.9,744.9,739.8,743.3,747.1,746.4,734.2,740.8
lz4,65536,31457280,3,840.29,1103490635,1.986,-0.001,0.993,False,842.5,839.9,837.8,845.3,839.5,841.4,842.0,843.0,834.8,836.7
lz4,32768,31457280,2,757.16,1107255602,-8.104,-0.342,-4.223,False,758.0,753.8,753.0,756.0,754.1,763.9,760.7,757.1,763.3,751.7
none,65536,31457280,2,905.87,1575750337,9.946,-42.798,-16.426,False,902.9,908.8,907.9,901.8,921.6,903.2,897.3,900.9,908.2,906.1
lz4,65536,41943040,2,825.97,1103488060,0.248,-0.0,0.124,False,829.6,826.3,831.7,828.5,828.1,825.6,825.9,820.1,825.4,818.6
lz4,65536,31457280,1,841.52,1103490635,2.135,-0.001,1.067,False,833.8,838.2,835.1,847.7,840.9,836.7,850.6,847.7,844.9,839.6
none,65536,31457280,2,898.82,1575750337,9.09,-42.798,-16.854,False,882.1,897.6,899.7,890.1,886.3,887.7,930.7,908.8,912.4,892.8
lz4,65536,31457280,1,875.71,1103490635,6.284,-0.001,3.142,False,908.7,916.2,906.6,906.6,910.6,841.7,849.0,836.4,836.6,844.6
lz4,32768,31457280,2,745.98,1107255602,-9.46,-0.342,-4.901,False,755.1,744.6,746.8,744.1,742.9,746.2,744.1,748.9,747.5,739.6
lz4,131072,31457280,2,885.21,1100862693,7.438,0.238,3.838,True,886.5,886.7,883.7,887.9,890.5,882.4,879.3,889.1,883.7,882.2
lz4,65536,31457280,2,845.33,1103490635,2.598,-0.001,1.299,False,842.5,847.7,841.4,844.3,848.7,841.3,848.0,848.2,848.0,843.2
zlib,131072,31457280,2,284.44,1051942312,-65.478,4.671,-30.403,False,298.8,279.0,273.1,270.3,272.7,264.2,268.4,306.7,304.8,306.4
zlib,131072,31457280,2,303.5,1051942312,-63.164,4.671,-29.247,False,302.0,303.5,303.0,304.7,302.8,303.4,305.9,302.6,303.6,303.6
lz4,131072,31457280,1,883.56,1100862693,7.237,0.238,3.737,True,883.4,886.2,881.3,888.1,887.2,881.8,884.9,877.4,881.4,883.9
none,131072,31457280,1,1141.88,1575025341,38.59,-42.732,-2.071,False,1148.9,1132.2,1138.7,1151.1,1146.8,1146.6,1137.9,1163.9,1135.2,1117.4
