compression,Page Size,Cluster Size,Cluster Bunch,throughput,relative_throughput,size,relative_size,performance,success,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9
lz4,65536,52428800,1,731.58,1.00,1103484973,1.00,0.0,True,747.2,726.6,720.8,740.5,718.1,736.0,739.5,738.6,731.4,717.0
zlib,65536,52428800,1,262.66,0.36,1057002950,0.96,-0.2994206736064614,False,248.6,244.6,239.2,255.7,278.1,273.5,277.2,275.7,271.9,262.1
lz4,131072,52428800,1,750.89,1.03,1100865373,1.00,0.014382460213969828,True,734.2,743.5,741.1,776.7,776.3,746.2,749.7,744.5,748.4,748.4
lz4,131072,41943040,1,864.82,1.18,1100869830,1.00,0.09224378021632695,True,822.2,856.4,871.0,875.9,871.0,870.5,873.5,859.2,884.2,864.2
lz4,131072,41943040,2,876.36,1.20,1100869830,1.00,0.10013222504520014,True,861.9,882.0,902.4,866.3,880.3,872.9,886.3,882.2,863.1,866.1
lz4,131072,41943040,1,859.99,1.18,1100869830,1.00,0.08894720416676205,True,884.6,875.6,866.5,865.3,840.7,866.3,861.6,871.7,858.9,808.8
lz4,131072,31457280,1,882.11,1.21,1100862693,1.00,0.10406569610763589,True,890.0,876.2,884.2,884.6,874.9,886.0,893.9,851.7,885.5,894.1
zlib,131072,31457280,1,302.14,0.41,1051942312,0.95,-0.2701494412077741,False,304.7,300.5,300.3,299.3,300.5,304.5,305.3,304.2,301.1,301.0
lz4,131072,20971520,1,914.24,1.25,1100875309,1.00,0.12601777240488093,True,923.9,914.0,923.0,925.0,908.6,915.1,914.9,904.6,906.7,906.7
lzma,131072,20971520,1,34.15,0.05,995432413,0.90,-0.42769743051171527,False,34.2,34.2,34.3,34.3,34.3,34.0,34.1,34.0,34.1,34.2
lz4,131072,31457280,1,765.10,1.05,1100862693,1.00,0.024092283048709306,True,764.6,766.6,777.2,762.0,767.0,766.6,756.5,760.6,766.6,763.5
lz4,131072,41943040,1,745.28,1.02,1100869830,1.00,0.010544990335627169,True,752.5,745.7,742.1,744.7,743.6,744.7,736.1,745.9,743.8,753.6
lzma,131072,41943040,1,34.33,0.05,995374627,0.90,-0.4275493247333195,False,34.3,34.2,34.5,34.1,34.2,34.5,34.4,34.5,34.4,34.2
lz4,131072,41943040,2,749.66,1.02,1100869830,1.00,0.013540973883190977,True,748.4,745.2,739.6,754.6,760.2,754.4,747.5,746.3,755.5,745.0
lz4,131072,52428800,2,756.95,1.03,1100865373,1.00,0.018522295324130744,True,756.1,765.0,765.2,751.3,754.2,752.1,755.9,752.6,758.6,758.7
none,131072,52428800,2,1132.40,1.55,1575032941,1.43,0.06027544353337344,True,1165.0,1168.6,1178.3,1104.7,1118.4,1141.4,1087.2,1135.6,1091.3,1133.4
zstd,131072,52428800,2,794.70,1.09,1047970424,0.95,0.06829248289767276,True,810.4,820.2,782.2,795.1,783.6,801.2,791.2,790.6,777.2,795.2
zstd,131072,41943040,2,804.22,1.10,1047994630,0.95,0.07478420043674422,True,814.7,798.5,806.3,804.5,799.9,795.2,811.3,803.2,797.9,810.7
zstd,65536,41943040,2,767.08,1.05,1050042637,0.95,0.048475823871163726,True,758.0,771.1,762.5,763.4,766.7,763.3,769.2,769.2,770.1,777.2
zstd,32768,41943040,2,718.49,0.98,1054228858,0.96,0.013372159222209412,True,715.0,723.8,719.7,711.9,719.0,718.7,717.7,717.4,722.8,719.0
lzma,32768,41943040,2,31.29,0.04,1009522075,0.91,-0.4360371271333079,False,31.3,31.1,31.4,31.4,31.4,31.4,31.4,31.2,31.2,31.2
zstd,32768,31457280,2,700.87,0.96,1054174742,0.96,0.0013524903829657542,True,713.7,692.9,700.4,694.5,716.8,699.0,701.2,688.3,692.9,709.0
zstd,32768,31457280,3,704.89,0.96,1054174742,0.96,0.004097581705463538,True,717.7,701.4,723.5,702.8,689.7,702.1,713.8,702.6,697.3,697.8
zstd,32768,31457280,2,698.59,0.95,1054174742,0.96,-0.00020411006566989354,True,698.1,700.1,699.4,697.0,696.3,698.0,696.9,700.3,700.7,699.0
zlib,32768,31457280,2,248.11,0.34,1076890717,0.98,-0.3183807203302108,False,252.5,247.0,241.7,239.5,245.0,260.2,241.4,244.8,239.3,269.7
zstd,32768,41943040,2,605.94,0.83,1054228858,0.96,-0.06355252556515473,True,605.7,608.3,606.0,610.2,603.2,606.9,607.3,601.3,607.9,602.5
zstd,65536,41943040,2,664.91,0.91,1050042637,0.95,-0.021352389512849235,True,659.9,663.3,679.9,665.2,661.2,660.6,668.0,663.6,663.5,663.8
none,65536,41943040,2,878.12,1.20,1575751565,1.43,-0.1138373562268773,False,848.0,885.8,867.1,879.9,869.6,904.6,892.8,876.7,871.6,885.3
zstd,131072,41943040,2,699.33,0.96,1047994630,0.95,0.0031029717304975613,True,668.1,705.5,697.4,705.6,705.4,703.1,709.2,697.2,702.7,699.2
