compression,Page Size,Cluster Size,Cluster Bunch,throughput,relative_throughput,size,relative_size,performance,success,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9
zstd,65536,41943040,2,657.15,0.90,1050042637,0.95,-0.026657550384773687,False,669.1,658.9,638.7,663.2,663.1,656.4,652.5,665.1,649.8,654.8
zstd,131072,52428800,2,694.18,0.95,1047970424,0.95,-0.0004107574876505149,True,681.0,700.4,689.0,692.7,692.9,697.9,699.1,698.0,695.0,695.7
zstd,131072,104857600,2,802.49,1.10,1047619591,0.95,0.073774605099306,True,821.2,803.8,805.1,805.1,802.4,792.2,804.0,799.3,803.5,788.3
zlib,131072,104857600,2,301.98,0.41,1051670231,0.95,-0.2701322471439213,False,301.9,298.8,301.9,303.9,302.5,302.8,306.0,304.9,299.8,297.4
zstd,262144,104857600,2,836.29,1.14,1042027478,0.94,0.09940828108659039,True,849.9,819.5,823.5,839.7,821.3,842.5,840.9,841.7,839.5,844.4
zstd,262144,52428800,2,836.75,1.14,1042692856,0.94,0.0994195235644274,True,827.8,849.8,824.5,816.4,845.3,852.5,846.1,834.8,824.6,845.5
none,262144,52428800,2,1174.32,1.61,1574702341,1.43,0.08907407038473847,False,1193.0,1193.6,1161.0,1133.4,1192.4,1159.9,1189.9,1140.6,1191.1,1188.4
zstd,262144,52428800,1,848.45,1.16,1042692856,0.94,0.1074180620692321,True,847.7,847.3,848.3,837.4,844.6,850.5,851.6,844.4,852.5,860.2
zstd,262144,52428800,2,844.97,1.15,1042692856,0.94,0.1050397216629797,True,846.8,856.6,857.6,840.3,841.6,818.0,854.3,827.6,857.1,849.7
zstd,262144,104857600,2,749.82,1.02,1042027478,0.94,0.040307544395079,False,758.5,748.6,760.9,756.4,746.4,752.4,737.9,741.2,747.1,748.7
zstd,262144,52428800,1,846.86,1.16,1042692856,0.94,0.10632894390681613,True,848.8,855.5,843.3,843.1,840.8,844.4,857.2,838.8,845.1,851.4
zstd,262144,52428800,2,846.26,1.16,1042692856,0.94,0.1059222267233414,True,841.8,845.1,848.0,862.5,851.2,824.7,839.2,845.4,855.3,849.3
zstd,524288,52428800,2,882.20,1.21,1020608293,0.92,0.14048837572515455,True,883.1,890.8,880.7,885.6,888.6,884.3,885.8,874.4,867.4,881.4
zstd,524288,52428800,1,863.25,1.18,1020608293,0.92,0.12754117964615436,True,878.7,863.4,875.6,862.4,857.1,882.7,832.3,876.9,841.0,862.3
zstd,524288,52428800,2,885.06,1.21,1020608293,0.92,0.1424472748564672,True,876.0,889.2,883.2,880.7,875.7,888.9,886.8,891.6,892.6,885.8
zstd,524288,52428800,1,879.77,1.20,1020608293,0.92,0.13882834296711016,True,882.1,867.5,888.2,862.6,883.3,865.3,890.9,888.8,881.6,887.4
none,524288,52428800,1,1084.27,1.48,1574507461,1.43,0.027620544613536913,False,1085.4,1084.2,1085.5,1082.7,1084.2,1081.5,1082.3,1082.7,1087.8,1086.4
zstd,524288,104857600,1,865.09,1.18,1020132117,0.92,0.12901488425351176,True,872.6,859.1,869.9,866.9,879.0,857.4,861.1,864.1,861.6,859.2
zstd,524288,104857600,2,859.26,1.17,1020132117,0.92,0.12502899787948468,True,870.2,858.8,850.0,870.8,846.9,849.8,870.7,867.1,850.8,857.6
zstd,262144,104857600,2,748.09,1.02,1042027478,0.94,0.03912992701632556,True,749.7,745.7,732.2,750.5,751.3,748.6,749.1,757.0,744.6,752.2
zstd,131072,104857600,2,694.00,0.95,1047619591,0.95,-0.0003733809616137118,True,692.9,699.7,696.0,700.5,696.2,683.9,679.8,700.8,698.9,691.4
zstd,131072,104857600,1,694.70,0.95,1047619591,0.95,0.00010198134173328155,True,700.0,692.7,693.4,693.3,698.6,699.7,690.6,695.1,694.1,689.5
zstd,131072,52428800,1,690.39,0.94,1047970424,0.95,-0.0029997469491370166,True,680.8,692.3,696.3,699.3,694.8,683.0,688.2,696.0,692.4,680.6
none,131072,52428800,1,862.82,1.18,1575032941,1.43,-0.12396814349773788,False,847.9,862.0,864.5,882.3,860.2,867.3,861.2,851.4,866.5,864.9
lz4,131072,52428800,1,747.39,1.02,1100865373,1.00,0.011990399802830898,True,744.4,741.8,747.0,743.9,741.5,747.6,751.9,751.9,758.3,745.6
lz4,131072,52428800,2,746.13,1.02,1100865373,1.00,0.011130239344919857,True,736.1,714.7,743.7,749.3,757.0,763.1,756.1,741.6,749.2,750.5
none,131072,52428800,2,857.87,1.17,1575032941,1.43,-0.12735385802123467,False,889.7,873.6,880.9,862.4,816.7,865.2,864.1,850.4,855.9,819.9
lz4,131072,52428800,1,747.04,1.02,1100865373,1.00,0.011753762247482036,True,752.0,753.0,748.6,732.5,749.0,749.7,736.7,754.7,744.5,749.7
lz4,131072,52428800,2,749.72,1.02,1100865373,1.00,0.0135825777600731,True,763.7,750.9,751.1,738.2,754.0,752.3,742.9,737.0,756.8,750.5
lz4,131072,52428800,1,745.81,1.02,1100865373,1.00,0.010913509725552384,False,751.0,734.8,750.4,746.3,748.0,752.3,745.8,748.1,736.9,744.5
lz4,131072,52428800,3,750.18,1.03,1100865373,1.00,0.013895173755457235,True,754.5,751.4,746.7,738.6,745.4,754.0,752.9,750.3,756.2,751.7
lz4,131072,41943040,3,747.97,1.02,1100869830,1.00,0.012383492063632762,True,751.5,755.1,744.8,748.0,749.8,742.0,747.4,744.1,747.5,749.5
lz4,131072,41943040,4,745.86,1.02,1100869830,1.00,0.010942743225485718,True,758.9,757.3,738.1,744.5,748.4,752.6,743.6,737.0,736.9,741.3
lz4,131072,52428800,4,753.04,1.03,1100865373,1.00,0.015851618079647967,True,750.4,749.6,750.7,746.1,757.6,752.8,763.8,748.1,749.5,761.8
lz4,262144,52428800,4,928.63,1.27,1098976578,1.00,0.13671088443669044,True,919.7,941.0,949.5,947.8,921.2,926.6,916.9,926.7,914.8,922.0
lz4,262144,104857600,4,939.53,1.28,1099061239,1.00,0.14412484072332332,True,942.6,958.7,949.2,958.3,931.8,929.7,934.2,939.2,917.2,934.4
lz4,524288,104857600,4,939.93,1.28,1097688175,0.99,0.1450191781495448,True,943.4,939.9,941.5,935.1,937.2,942.2,937.2,939.7,941.5,941.7
lz4,524288,104857600,5,941.14,1.29,1097688175,0.99,0.14584962180472394,True,942.1,942.8,937.2,926.4,940.6,938.4,939.8,946.5,949.9,947.5
lz4,524288,209715200,5,919.62,1.26,1097750721,0.99,0.13111050250908668,True,912.4,927.3,924.4,910.2,925.3,921.1,912.4,920.7,918.4,924.1
none,524288,209715200,5,1095.87,1.50,1574505069,1.43,0.035550141326519236,False,1091.5,1097.3,1088.5,1104.2,1097.6,1092.8,1102.4,1094.0,1099.8,1090.5
lz4,524288,209715200,4,884.35,1.21,1097750721,0.99,0.10700928159758966,True,928.9,1000.5,887.3,873.6,873.4,846.2,899.8,847.5,845.6,840.7
lz4,524288,314572800,4,925.73,1.27,1097740211,0.99,0.13529299992166205,True,914.0,918.1,924.5,934.3,925.1,934.0,931.9,935.3,915.9,924.2
zstd,524288,314572800,4,884.18,1.21,1019553960,0.92,0.14232332209434662,True,892.5,880.3,893.4,876.3,883.2,866.8,890.3,887.1,886.4,885.6
zstd,524288,314572800,5,875.27,1.20,1019553960,0.92,0.13622962060837307,True,876.6,858.5,892.8,862.1,892.1,894.8,877.2,845.1,882.8,870.5
zstd,524288,314572800,4,887.26,1.21,1019553960,0.92,0.14442815978220536,True,895.1,883.2,887.6,882.2,896.1,887.5,878.6,872.2,898.6,891.5
zstd,262144,314572800,4,848.88,1.16,1042481550,0.94,0.10780674510209037,False,849.7,842.2,861.8,845.0,855.8,845.6,855.0,845.8,843.3,844.5
zstd,262144,314572800,4,854.25,1.17,1042481550,0.94,0.11147631822567744,False,848.1,862.3,849.7,847.6,857.8,863.9,850.0,853.6,854.8,854.7
zstd,524288,419430400,4,902.04,1.23,1019525080,0.92,0.15454036973264934,True,896.2,941.0,896.8,909.7,895.0,888.6,893.8,894.0,907.2,898.0
lz4,524288,419430400,4,929.73,1.27,1097761901,0.99,0.13801372482584834,True,932.2,932.6,923.9,931.2,919.1,917.6,943.9,927.6,935.3,933.9
lz4,524288,419430400,3,930.04,1.27,1097761901,0.99,0.13822556274434533,True,925.9,932.4,929.2,933.2,930.3,928.5,925.5,929.3,934.1,932.1
lz4,524288,524288000,3,943.07,1.29,1097761901,0.99,0.14713631962252322,True,932.7,1018.6,928.5,943.0,938.6,947.1,933.2,912.1,937.2,939.7
lz4,262144,524288000,3,933.21,1.28,1099057794,1.00,0.13980712330373735,True,933.3,926.3,974.9,934.5,920.9,936.5,923.3,934.3,915.1,933.0
zlib,262144,524288000,3,321.15,0.44,1043119160,0.95,-0.25315527133732907,False,320.0,321.9,314.7,322.3,320.8,323.5,321.2,323.0,321.4,322.7
lz4,262144,419430400,3,922.61,1.26,1099057794,1.00,0.13256315700129706,True,917.4,977.6,917.2,922.3,911.1,916.5,927.5,910.7,904.4,921.3
lz4,524288,419430400,3,846.50,1.16,1097761901,0.99,0.08113560048351515,False,849.3,848.2,849.3,835.8,847.7,847.9,839.3,848.5,846.5,852.5
lz4,262144,419430400,2,913.05,1.25,1099057794,1.00,0.12602881153175693,True,900.3,920.9,915.7,914.8,904.2,922.9,904.3,910.3,924.2,913.0
lz4,262144,419430400,3,923.68,1.26,1099057794,1.00,0.13329304140109888,True,923.8,936.5,911.1,924.1,930.9,921.2,920.6,909.2,939.0,920.4
lzma,262144,419430400,3,35.67,0.05,992144477,0.90,-0.4251694309851207,False,35.8,35.7,35.5,34.9,35.7,35.9,35.9,35.9,35.6,35.8
lz4,524288,419430400,3,845.33,1.16,1097761901,0.99,0.08033104872524993,False,846.4,851.1,848.6,840.8,851.2,837.6,843.0,848.9,843.5,842.2
lz4,262144,419430400,4,917.60,1.25,1099057794,1.00,0.12913913789428033,True,915.4,923.3,915.9,915.6,938.0,902.4,917.7,912.2,914.5,921.0
lz4,262144,419430400,3,912.94,1.25,1099057794,1.00,0.12595098567796148,True,907.2,914.9,914.9,914.5,913.8,920.1,898.2,922.3,923.8,899.6
lz4,131072,419430400,3,901.12,1.23,1100849480,1.00,0.11706524417002062,True,901.2,899.9,896.9,898.8,899.8,897.6,900.1,903.3,909.2,904.4
lz4,262144,419430400,3,843.45,1.15,1099057794,1.00,0.0784645008372934,False,841.1,841.2,846.7,848.3,849.9,844.4,844.3,836.1,847.0,835.6
lz4,131072,419430400,2,896.29,1.23,1100849480,1.00,0.1137660821966161,True,889.5,896.7,890.0,899.8,896.2,899.3,897.0,898.1,900.4,895.9
lz4,65536,419430400,2,877.96,1.20,1103459002,1.00,0.10004961965719694,True,888.5,892.3,882.8,848.2,884.6,893.9,881.4,877.2,872.0,858.6
zlib,65536,419430400,2,276.94,0.38,1056918823,0.96,-0.2896229677827609,False,276.6,279.3,275.7,279.4,278.4,279.4,274.9,274.2,276.0,275.6
lz4,32768,419430400,2,794.71,1.09,1107297917,1.00,0.04141709702659646,True,779.5,813.1,795.5,816.5,784.1,805.7,775.6,773.4,818.0,785.8
lz4,32768,419430400,1,789.21,1.08,1107297917,1.00,0.03765512103836843,True,807.0,808.0,800.2,764.3,778.2,767.2,780.7,774.8,800.2,811.5
lz4,65536,419430400,1,766.13,1.05,1103459002,1.00,0.02362217733228278,True,752.6,760.5,762.2,768.3,768.3,777.2,770.5,764.5,773.5,763.7
lz4,65536,524288000,1,872.45,1.19,1103459002,1.00,0.09628475281438365,True,877.4,871.6,873.6,859.0,886.1,834.3,882.1,897.1,870.5,872.8
lz4,32768,524288000,1,768.25,1.05,1107297917,1.00,0.023329874858582178,True,776.5,766.0,787.5,791.1,794.5,754.1,767.4,744.4,736.1,765.0
lz4,32768,524288000,2,771.71,1.05,1107297917,1.00,0.025698383578160677,True,747.8,766.4,771.5,810.8,764.2,787.8,756.7,789.8,765.9,756.3
