compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),throughput_increase(%),size_decrease(%),performance(%),accepted,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9
lz4,65536,52428800,1,813.06,1103484973,0.0,-0.0,0.0,True,811.9,814.4,810.0,819.3,818.7,807.8,806.6,815.9,811.5,814.4
lz4,65536,104857600,1,827.22,1103445496,1.742,0.004,0.873,True,828.5,819.9,836.3,823.1,820.1,828.8,823.5,819.7,832.5,839.8
lz4,65536,104857600,2,815.0,1103445496,0.239,0.004,0.121,True,831.5,817.1,811.6,804.2,811.6,817.2,812.3,808.1,820.2,816.2
lz4,65536,52428800,2,844.72,1103484973,3.894,-0.0,1.947,True,881.5,887.0,884.3,882.4,819.5,815.3,821.8,813.5,816.9,825.0
lz4,65536,41943040,2,814.2,1103488060,0.14,-0.0,0.07,True,809.6,812.8,810.3,808.9,803.4,819.6,821.7,818.7,822.2,814.9
lz4,65536,52428800,2,823.68,1103484973,1.307,-0.0,0.653,True,827.1,821.8,825.6,821.0,821.8,826.7,824.7,823.3,825.1,819.7
lz4,32768,52428800,2,691.16,1107290144,-14.992,-0.345,-7.668,True,694.0,694.3,698.8,697.9,682.2,695.4,636.5,703.8,708.3,700.6
lz4,65536,52428800,2,827.07,1103484973,1.724,-0.0,0.862,True,811.6,820.7,823.7,821.0,821.0,821.7,825.5,888.9,819.4,817.1
lz4,65536,52428800,1,815.51,1103484973,0.302,-0.0,0.151,True,811.9,811.9,822.1,812.6,817.0,813.1,816.5,819.3,807.6,823.1
lz4,131072,52428800,1,852.15,1100865373,4.809,0.237,2.523,True,850.9,851.5,851.3,855.8,854.0,852.6,855.6,850.9,845.5,853.5
lz4,262144,52428800,1,883.49,1098976578,8.663,0.409,4.536,True,876.2,898.1,878.1,868.2,891.9,880.6,874.4,876.4,903.4,887.6
lz4,262144,104857600,1,888.17,1099061239,9.238,0.401,4.819,True,880.9,891.6,886.6,890.1,889.9,888.7,892.4,889.1,888.9,883.4
lz4,524288,104857600,1,919.59,1097688175,13.103,0.525,6.814,True,918.1,919.1,924.3,913.1,922.2,915.8,919.3,918.7,921.6,923.8
lz4,1048576,104857600,1,932.94,1096892262,14.745,0.597,7.671,True,934.7,929.9,935.5,927.8,932.7,933.7,934.0,938.1,931.8,931.2
lz4,2097152,104857600,1,925.64,1096483062,13.847,0.635,7.241,True,914.5,922.7,923.3,910.7,931.9,933.9,933.4,938.0,932.0,916.0
lzma,2097152,104857600,1,34.86,987722799,-95.712,10.491,-42.611,False,34.8,34.8,34.9,34.8,34.6,35.0,34.7,35.0,35.0,34.8
lz4,2097152,104857600,2,938.95,1096483062,15.484,0.635,8.059,True,931.2,931.6,945.9,938.2,942.3,943.9,951.2,934.5,929.4,941.3
lz4,2097152,52428800,2,944.01,1096596968,16.106,0.624,8.365,True,943.9,948.7,943.8,935.9,949.5,947.5,943.6,948.1,950.0,929.1
lz4,1048576,52428800,2,928.85,1096886761,14.241,0.598,7.42,True,933.4,924.4,931.9,930.7,933.8,921.0,931.0,933.5,930.7,918.2
lz4,1048576,104857600,2,930.74,1096892262,14.474,0.597,7.536,True,922.9,933.2,924.9,928.0,934.5,937.7,931.0,929.5,931.1,934.4
lz4,1048576,104857600,1,925.2,1096892262,13.792,0.597,7.195,True,926.5,924.8,932.0,929.3,922.5,925.2,930.1,928.4,910.9,922.2
lz4,2097152,104857600,1,939.37,1096483062,15.536,0.635,8.085,True,923.4,944.5,946.4,941.4,944.4,934.1,941.3,940.1,942.3,935.9
lz4,2097152,209715200,1,956.04,1096479491,17.586,0.635,9.11,True,930.4,925.3,1025.1,1007.2,970.0,943.0,942.2,932.7,941.5,943.0
lz4,2097152,104857600,1,935.61,1096483062,15.073,0.635,7.854,True,934.5,936.1,930.4,942.1,932.4,930.9,942.4,929.9,939.7,937.8
lz4,2097152,209715200,1,941.22,1096479491,15.763,0.635,8.199,True,944.2,945.8,942.8,950.2,941.4,940.0,932.3,946.7,939.2,929.4
zlib,2097152,209715200,1,331.1,1034406745,-59.277,6.26,-26.508,False,328.3,334.4,334.0,330.3,328.4,331.7,331.7,330.8,331.9,329.6
zlib,2097152,209715200,1,331.24,1034406745,-59.26,6.26,-26.5,False,331.6,332.5,332.6,332.8,330.9,330.1,327.7,330.2,333.2,330.9
zstd,2097152,209715200,1,869.39,1016338761,6.928,7.897,7.413,True,885.4,888.1,877.6,859.3,899.2,862.4,882.9,845.2,850.8,843.0
zstd,2097152,104857600,1,878.66,1017260304,8.069,7.814,7.942,True,880.9,873.3,880.7,884.2,866.2,882.4,885.1,880.4,870.8,882.6
zstd,2097152,52428800,1,875.14,1018035978,7.636,7.744,7.69,True,870.3,874.6,883.9,881.3,883.6,888.3,847.2,868.7,891.0,862.6
lzma,2097152,52428800,1,34.68,987962707,-95.735,10.469,-42.633,False,34.6,34.8,34.4,34.6,34.5,34.5,34.9,34.7,34.9,34.8
none,2097152,52428800,1,1160.38,1574392625,42.719,-42.675,0.022,False,1151.7,1165.2,1163.1,1160.8,1157.1,1156.0,1163.6,1163.0,1160.2,1163.0
zstd,2097152,52428800,2,883.77,1018035978,8.698,7.744,8.221,True,885.3,887.4,878.5,879.9,886.5,888.1,885.0,885.2,884.4,877.5
zstd,2097152,52428800,3,891.3,1018035978,9.623,7.744,8.683,True,878.6,876.8,878.8,879.3,886.2,886.8,934.0,935.6,877.2,879.7
zstd,2097152,52428800,2,882.13,1018035978,8.495,7.744,8.119,True,875.0,879.8,878.5,882.7,867.8,877.6,880.4,872.9,927.9,878.9
lzma,2097152,52428800,2,34.6,987962707,-95.745,10.469,-42.638,False,34.6,34.8,34.4,34.7,34.5,34.6,34.6,34.5,34.6,34.6
zstd,2097152,41943040,2,953.9,1018150787,17.322,7.733,12.528,True,943.5,948.2,959.9,960.4,957.9,956.7,957.7,955.1,944.2,955.1
zstd,2097152,52428800,2,892.35,1018035978,9.753,7.744,8.748,True,897.5,894.5,889.9,890.9,890.4,893.0,897.8,887.7,893.7,888.1
zstd,2097152,52428800,3,881.39,1018035978,8.405,7.744,8.074,True,888.4,877.6,882.4,879.1,887.1,878.3,878.9,878.9,881.6,881.6
zstd,2097152,52428800,2,879.72,1018035978,8.2,7.744,7.972,True,872.8,880.3,883.7,874.4,881.5,879.5,883.9,874.4,882.4,884.3
zstd,1048576,52428800,2,874.55,1018103322,7.563,7.737,7.65,True,872.1,874.3,875.1,880.0,875.0,876.7,872.1,872.8,876.6,870.9
zstd,1048576,104857600,2,866.4,1017373663,6.56,7.804,7.182,True,865.2,874.0,854.6,860.8,873.3,874.1,865.6,864.9,864.0,867.5
lz4,1048576,104857600,2,922.85,1096892262,13.504,0.597,7.051,True,913.2,922.7,925.4,928.4,922.3,920.6,925.2,927.3,915.4,928.0
lz4,1048576,52428800,2,931.91,1096886761,14.618,0.598,7.608,True,919.0,931.6,926.5,937.1,933.0,937.8,936.9,931.9,929.7,935.6
lz4,524288,52428800,2,921.16,1097689557,13.295,0.525,6.91,True,922.6,926.9,921.1,923.3,917.0,918.3,919.4,920.3,919.7,922.7
lz4,524288,104857600,2,924.14,1097688175,13.663,0.525,7.094,True,925.9,920.8,925.3,928.1,922.8,921.8,921.4,926.5,917.7,931.1
lz4,1048576,104857600,2,928.96,1096892262,14.255,0.597,7.426,True,927.0,928.0,920.0,938.9,934.5,933.2,938.5,915.8,923.8,929.8
zlib,1048576,104857600,2,328.44,1035906214,-59.605,6.124,-26.74,False,328.7,328.2,330.4,324.5,328.0,330.1,328.9,330.2,326.6,328.7
lz4,1048576,104857600,3,935.12,1096892262,15.012,0.597,7.805,True,921.4,937.2,926.9,937.1,942.6,936.7,938.2,934.6,936.9,939.7
none,1048576,104857600,3,1108.27,1574419209,36.309,-42.677,-3.184,False,1108.2,1108.7,1107.8,1107.2,1108.0,1107.6,1109.2,1107.8,1108.3,1109.9
none,1048576,104857600,3,1110.27,1574419209,36.555,-42.677,-3.061,False,1110.0,1110.5,1106.7,1110.1,1115.7,1112.0,1112.5,1106.9,1110.9,1107.5
lzma,1048576,104857600,3,35.14,988690547,-95.677,10.403,-42.637,False,35.0,35.4,35.3,35.1,35.0,35.4,35.2,35.3,35.0,34.8
zlib,1048576,104857600,3,330.82,1035906214,-59.311,6.124,-26.594,False,330.7,330.2,330.6,331.0,331.8,329.6,332.0,330.0,330.9,331.5
zstd,1048576,104857600,3,849.5,1017373663,4.482,7.804,6.143,False,809.7,852.1,828.5,827.8,812.9,873.0,874.3,873.0,874.7,869.0
lzma,1048576,104857600,3,35.1,988690547,-95.683,10.403,-42.64,False,35.1,35.1,35.1,35.0,35.2,35.1,35.1,35.1,35.0,35.1
lz4,1048576,104857600,4,940.42,1096892262,15.664,0.597,8.131,True,932.1,936.9,941.9,946.6,943.5,941.8,939.4,942.8,942.4,936.7
lzma,1048576,104857600,4,35.16,988690547,-95.676,10.403,-42.636,False,35.2,35.0,35.1,35.2,35.4,35.1,35.1,35.1,35.2,35.2
lz4,524288,104857600,4,934.76,1097688175,14.969,0.525,7.747,True,923.1,929.2,930.6,1003.2,924.3,928.0,927.7,929.5,923.5,928.5
lz4,524288,104857600,3,924.96,1097688175,13.763,0.525,7.144,True,913.3,971.9,921.4,926.2,902.6,925.7,917.3,926.4,921.0,923.8
lz4,524288,52428800,3,918.72,1097689557,12.996,0.525,6.76,False,912.6,918.4,921.2,911.1,919.3,919.3,921.5,917.3,919.6,926.8
lz4,262144,104857600,3,877.53,1099061239,7.929,0.401,4.165,True,876.4,879.7,878.2,877.8,879.1,881.8,870.1,875.4,877.5,879.1
zstd,262144,104857600,3,813.52,1042027478,0.057,5.569,2.813,True,810.1,810.0,828.1,815.0,815.8,812.2,810.1,811.4,809.0,813.5
zstd,262144,52428800,3,810.34,1042692856,-0.335,5.509,2.587,True,807.2,806.8,818.5,807.3,819.1,798.9,823.7,803.1,811.3,807.5
zstd,262144,41943040,3,803.17,1042889718,-1.216,5.491,2.138,True,805.2,804.0,804.3,804.0,801.1,805.4,800.2,799.1,803.0,805.4
zstd,524288,41943040,3,849.43,1020561920,4.474,7.515,5.994,True,860.0,851.2,851.0,846.1,850.8,845.0,845.5,847.1,848.8,848.9
zstd,262144,41943040,3,806.42,1042889718,-0.816,5.491,2.338,False,808.1,808.8,809.8,805.4,810.0,805.8,803.2,810.8,799.2,803.1
zstd,524288,31457280,3,854.18,1020647502,5.058,7.507,6.282,True,857.4,856.1,853.4,852.9,856.6,851.0,840.3,857.6,858.3,858.1
zstd,262144,31457280,3,840.63,1042166309,3.392,5.557,4.474,False,868.1,875.3,871.1,858.1,826.7,820.1,817.8,827.1,818.2,823.9
none,524288,31457280,3,1150.76,1574549741,41.535,-42.689,-0.577,True,1151.6,1144.1,1144.0,1150.8,1156.4,1151.7,1141.2,1154.5,1157.6,1155.8
none,524288,20971520,3,1160.77,1574572141,42.766,-42.691,0.038,True,1144.3,1149.4,1174.4,1155.1,1150.1,1163.9,1158.3,1172.2,1169.2,1170.7
none,1048576,20971520,3,1212.88,1574485145,49.175,-42.683,3.246,True,1213.8,1205.9,1220.1,1210.5,1211.0,1212.4,1211.0,1209.2,1221.2,1213.5
none,1048576,31457280,3,1244.47,1574433745,53.061,-42.678,5.191,True,1244.8,1240.9,1242.9,1244.5,1246.6,1247.4,1246.7,1242.6,1240.0,1248.4
none,1048576,41943040,3,1093.58,1574449937,34.503,-42.68,-4.089,False,1091.7,1089.2,1097.7,1094.7,1095.3,1094.5,1093.6,1094.8,1093.2,1091.1
zlib,1048576,31457280,3,329.33,1035780296,-59.495,6.136,-26.68,False,323.8,334.1,330.8,330.5,328.9,327.5,330.9,325.5,331.1,330.4
lz4,1048576,31457280,3,965.03,1096969972,18.691,0.59,9.641,True,955.1,970.8,958.5,971.4,957.1,969.2,973.8,965.2,968.5,960.6
zstd,1048576,31457280,3,883.86,1018433463,8.708,7.708,8.208,False,936.3,880.4,875.3,877.4,882.0,884.1,868.4,878.7,876.0,880.0
lz4,1048576,20971520,3,993.32,1096766556,22.171,0.609,11.39,True,978.4,990.0,997.3,993.6,1000.3,989.0,999.4,1001.6,998.6,985.0
lz4,524288,20971520,3,975.6,1097420632,19.992,0.55,10.271,True,977.0,980.9,973.8,976.0,974.4,967.1,979.9,966.2,980.9,979.8
zstd,524288,20971520,3,860.13,1021497471,5.79,7.43,6.61,False,866.7,858.4,848.4,859.6,856.4,863.5,858.4,865.7,865.8,858.5
lz4,524288,31457280,3,952.51,1097845350,17.152,0.511,8.832,True,958.5,948.1,955.4,950.5,946.1,948.8,952.6,951.3,957.6,956.2
lz4,1048576,31457280,3,955.69,1096969972,17.542,0.59,9.066,True,954.8,956.0,951.8,961.0,959.4,957.2,957.8,945.2,963.6,950.1
lz4,1048576,20971520,3,989.28,1096766556,21.674,0.609,11.142,True,979.8,988.8,989.2,987.6,989.3,994.0,995.3,991.6,989.4,987.9
lz4,524288,20971520,3,965.12,1097420632,18.702,0.55,9.626,True,962.0,965.1,975.2,964.5,964.0,970.4,956.9,972.9,954.1,966.2
lz4,1048576,20971520,3,990.64,1096766556,21.841,0.609,11.225,True,985.8,979.7,978.8,1002.8,985.2,977.4,1003.0,999.4,995.6,998.6
lz4,1048576,31457280,3,958.56,1096969972,17.896,0.59,9.243,True,956.6,960.0,958.9,967.8,948.3,952.0,955.5,964.2,960.7,961.5
lz4,1048576,20971520,3,988.53,1096766556,21.582,0.609,11.096,True,992.6,992.9,1001.1,995.0,997.1,980.2,994.6,969.8,988.0,974.1
lz4,1048576,31457280,3,945.93,1096969972,16.342,0.59,8.466,True,949.0,940.4,940.4,943.3,939.6,940.4,954.1,950.5,944.8,956.7
lzma,1048576,31457280,3,35.47,988683081,-95.637,10.404,-42.617,False,35.5,35.5,35.6,35.7,35.4,35.7,35.1,35.4,35.6,35.3
lzma,1048576,31457280,3,35.36,988683081,-95.651,10.404,-42.624,False,35.5,35.2,35.3,35.5,35.5,35.4,35.1,35.1,35.5,35.5
lz4,1048576,31457280,2,974.35,1096969972,19.838,0.59,10.214,True,972.7,973.2,974.7,976.3,974.5,970.9,978.7,977.6,960.0,985.1
lz4,1048576,20971520,2,981.69,1096766556,20.74,0.609,10.675,True,973.5,1001.2,968.6,963.6,997.3,972.9,969.0,988.8,992.1,989.9
lz4,1048576,20971520,3,986.49,1096766556,21.331,0.609,10.97,True,990.0,980.4,976.6,977.0,985.1,995.8,1003.0,976.5,991.8,988.6
none,1048576,20971520,3,1226.1,1574485145,50.802,-42.683,4.059,False,1246.3,1224.7,1224.0,1217.7,1219.8,1225.7,1222.1,1228.8,1232.6,1219.3
lzma,1048576,20971520,3,34.63,988366867,-95.741,10.432,-42.655,False,34.9,34.7,34.7,35.0,34.8,32.1,34.9,34.9,35.2,35.0
lz4,524288,20971520,3,976.0,1097420632,20.041,0.55,10.295,True,976.5,979.4,972.2,977.2,980.3,970.3,982.1,973.3,967.2,981.4
zstd,524288,20971520,3,865.24,1021497471,6.418,7.43,6.924,True,851.0,870.5,862.8,863.6,862.3,863.2,868.7,866.4,877.3,866.5
lzma,524288,20971520,3,35.79,990145565,-95.598,10.271,-42.663,False,35.7,35.6,36.1,35.8,36.1,35.8,35.6,35.8,35.7,35.7
zstd,262144,20971520,3,836.88,1039715652,2.93,5.779,4.354,True,821.9,845.4,844.6,846.9,845.5,814.1,843.0,840.6,842.6,824.2
zstd,131072,20971520,3,787.77,1046116908,-3.11,5.199,1.044,True,770.1,789.8,787.5,786.4,790.3,791.0,791.5,791.9,789.2,789.9
zstd,131072,20971520,4,779.78,1046116908,-4.093,5.199,0.553,False,786.2,784.2,782.6,783.6,782.6,784.8,786.1,784.3,743.1,780.2
zstd,131072,31457280,3,771.53,1048104363,-5.108,5.019,-0.045,True,769.8,778.5,770.0,771.4,772.9,772.6,774.2,775.3,756.7,773.9
