compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),throughput_increase(%),size_decrease(%),performance(%),accepted,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9
lz4,65536,52428800,1,811.36,1103484973,0.0,-0.0,0.0,True,813.4,831.4,830.8,806.9,810.1,793.1,817.9,818.9,824.0,767.0
zstd,65536,52428800,1,737.48,1050014505,-9.105,4.846,-2.13,False,726.1,732.5,747.3,737.5,741.6,729.9,746.9,733.3,737.2,742.5
lz4,131072,52428800,1,861.82,1100865373,6.22,0.237,3.229,True,865.5,867.9,859.5,854.8,864.0,848.4,867.6,856.1,860.5,874.0
lz4,131072,52428800,2,890.49,1100865373,9.753,0.237,4.995,True,900.6,900.0,895.0,910.0,894.2,911.2,907.4,863.2,867.5,855.7
lz4,131072,41943040,2,859.24,1100869830,5.902,0.237,3.07,True,856.3,860.4,855.0,855.0,855.1,883.0,864.8,848.2,859.2,855.5
lz4,131072,41943040,1,851.5,1100869830,4.948,0.237,2.593,True,852.6,848.4,864.1,847.1,856.8,852.5,847.1,854.5,842.5,849.4
lz4,262144,41943040,1,886.5,1099067987,9.261,0.4,4.831,True,877.9,896.9,884.0,888.5,889.6,872.9,891.4,888.8,888.1,886.7
lz4,262144,31457280,1,896.39,1098921528,10.48,0.414,5.447,True,885.5,895.3,886.4,892.6,895.3,905.4,910.8,903.7,894.8,894.1
lz4,131072,31457280,1,870.23,1100862693,7.257,0.238,3.747,False,873.6,871.4,871.4,870.0,856.8,870.5,880.9,865.8,863.2,878.8
none,262144,31457280,1,1093.62,1574700541,34.789,-42.702,-3.957,False,1127.2,1063.0,1110.5,1139.3,1114.7,1067.7,1079.4,1081.4,1087.8,1065.1
lz4,262144,41943040,1,890.59,1099067987,9.766,0.4,5.083,True,891.9,892.7,885.7,891.0,894.4,887.5,898.8,887.4,890.7,885.7
lz4,262144,52428800,1,886.6,1098976578,9.274,0.409,4.841,True,881.7,876.4,893.7,890.6,886.2,890.9,881.7,892.3,893.5,879.1
lz4,524288,52428800,1,916.69,1097689557,12.982,0.525,6.754,True,925.8,923.3,918.8,913.6,898.7,925.3,914.9,916.3,921.8,908.3
zlib,524288,52428800,1,272.12,1038126753,-66.461,5.923,-30.269,False,278.8,276.6,276.1,271.7,270.0,274.8,271.6,267.0,269.3,265.4
lz4,262144,52428800,1,894.18,1098976578,10.208,0.409,5.308,False,907.1,881.6,884.9,885.5,915.9,894.0,908.3,892.1,885.4,887.0
lz4,1048576,52428800,1,918.53,1096886761,13.209,0.598,6.904,True,927.9,920.7,922.2,910.9,917.9,925.6,928.2,901.3,903.0,927.4
lz4,1048576,52428800,2,933.58,1096886761,15.064,0.598,7.831,True,933.4,928.2,940.1,928.6,933.6,934.0,932.5,936.3,931.5,937.7
lz4,524288,52428800,2,918.06,1097689557,13.151,0.525,6.838,False,912.9,921.5,920.6,915.8,923.4,908.6,924.3,923.1,914.8,915.7
lz4,2097152,52428800,2,935.65,1096596968,15.319,0.624,7.972,True,934.6,931.9,935.7,936.9,939.5,940.0,941.2,937.6,927.3,931.7
lz4,4194304,52428800,2,956.58,1096344797,17.899,0.647,9.273,True,962.5,969.2,953.3,953.3,959.3,967.4,952.5,936.6,967.5,944.3
lz4,4194304,52428800,3,958.8,1096344797,18.172,0.647,9.41,True,960.7,954.2,968.8,925.4,966.6,965.7,950.7,964.4,964.0,967.4
lz4,2097152,52428800,3,940.1,1096596968,15.868,0.624,8.246,False,948.0,950.0,931.9,944.6,950.8,938.0,927.2,933.0,952.4,925.1
lzma,4194304,52428800,3,33.81,987359567,-95.833,10.524,-42.655,False,33.9,33.6,33.8,34.0,33.7,33.8,33.7,33.8,33.8,33.9
lz4,4194304,104857600,3,921.65,1096338608,13.593,0.648,7.12,False,940.2,872.7,845.1,935.1,939.7,931.4,942.3,937.0,931.2,941.8
lz4,4194304,52428800,4,972.32,1096344797,19.839,0.647,10.243,True,985.5,974.6,973.6,976.2,974.6,937.6,965.3,979.3,976.9,979.6
lz4,4194304,41943040,4,986.31,1096411810,21.563,0.641,11.102,True,957.7,977.3,993.0,983.6,981.4,997.6,986.3,996.6,998.1,991.4
lz4,8388608,41943040,4,985.29,1096411810,21.438,0.641,11.039,True,992.8,989.3,986.0,971.5,987.8,992.2,989.3,966.2,992.3,985.6
lz4,8388608,41943040,5,975.46,1096411810,20.225,0.641,10.433,False,958.8,982.2,983.1,975.8,979.7,987.2,978.1,974.8,982.8,952.0
lz4,8388608,41943040,3,980.96,1096411810,20.904,0.641,10.772,True,989.3,989.7,983.3,989.3,985.4,977.5,988.8,968.4,972.2,965.7
lz4,8388608,52428800,3,966.68,1096344797,19.144,0.647,9.895,False,975.1,967.1,973.1,967.2,967.0,948.2,975.2,969.8,949.5,974.7
lz4,8388608,31457280,3,991.24,1096531365,22.17,0.63,11.4,True,1001.7,980.0,984.4,995.3,998.4,990.1,975.6,990.1,1001.4,995.3
lz4,8388608,31457280,4,976.12,1096531365,20.307,0.63,10.468,True,979.5,981.8,980.3,979.2,966.6,970.7,964.1,981.8,975.1,982.2
zstd,8388608,31457280,4,905.65,1018359943,11.622,7.714,9.668,False,902.2,898.9,918.0,903.8,906.1,906.1,892.3,910.2,904.4,914.6
none,8388608,31457280,4,1213.5,1574433745,49.565,-42.678,3.443,False,1211.0,1224.1,1209.6,1206.6,1214.9,1209.4,1212.2,1216.4,1209.2,1221.6
lz4,16777216,31457280,4,1015.86,1096531370,25.205,0.63,12.917,True,979.6,1051.4,1050.2,1054.2,1057.0,1059.3,987.2,978.8,975.0,965.8
none,16777216,31457280,4,1221.68,1574433749,50.572,-42.678,3.947,False,1220.9,1219.5,1226.4,1223.4,1235.5,1215.4,1215.4,1223.0,1214.7,1222.5
