compression,Page Size,Cluster Size,Cluster Bunch,throughput,relative_throughput,size,relative_size,performance,success,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9
none,65536,419430400,2,735.13,0.64,1575723773,1.43,-0.39558489111000117,False,737.6,729.8,735.6,727.5,736.3,730.9,721.8,737.8,751.2,742.6
zlib,65536,419430400,1,1415.10,1.23,1056918823,0.96,0.1339939971024468,True,1414.7,1404.4,1410.9,1409.5,1468.2,1399.7,1403.0,1412.5,1414.3,1413.7
zlib,65536,419430400,2,1446.43,1.25,1056918823,0.96,0.14756213659629497,True,1449.3,1486.7,1429.5,1445.2,1419.9,1447.1,1447.6,1451.6,1439.7,1447.7
zlib,65536,419430400,3,1452.68,1.26,1056918823,0.96,0.1502687871189013,True,1429.2,1483.2,1451.1,1453.7,1456.9,1452.8,1446.9,1466.9,1431.7,1454.4
zlib,65536,524288000,3,1485.91,1.29,1056918823,0.96,0.1646629804164142,True,1472.3,1460.3,1484.5,1479.7,1482.4,1480.8,1529.9,1466.9,1518.7,1483.6
zlib,131072,524288000,3,1611.42,1.40,1051642196,0.95,0.22141525604583945,True,1593.8,1612.0,1627.4,1614.1,1617.9,1617.0,1590.3,1604.6,1620.7,1616.5
zlib,65536,524288000,3,1192.40,1.03,1056918823,0.96,0.03754086770357051,False,1190.2,1192.8,1156.1,1202.0,1192.5,1210.8,1192.8,1193.6,1192.9,1200.2
zlib,131072,524288000,4,1619.20,1.40,1051642196,0.95,0.2247819489718943,True,1621.9,1621.0,1616.1,1616.0,1622.0,1616.2,1618.3,1622.8,1614.4,1623.1
none,131072,524288000,4,1137.50,0.99,1575028937,1.43,-0.22099636599827338,False,1111.6,1125.2,1143.4,1137.7,1126.1,1151.1,1134.8,1148.8,1148.6,1147.8
none,131072,524288000,4,1149.78,1.00,1575028937,1.43,-0.21568116522683645,False,1150.5,1148.6,1148.5,1148.6,1150.5,1150.8,1150.9,1147.6,1166.2,1135.6
lzma,131072,524288000,4,1672.96,1.45,995367871,0.90,0.27356650107013447,True,1660.7,1669.6,1655.5,1689.2,1671.7,1667.3,1683.5,1688.7,1672.4,1671.0
none,131072,524288000,4,942.42,0.82,1575028937,1.43,-0.30549032344859434,False,952.9,953.8,937.8,949.2,942.1,945.1,923.2,946.0,923.0,951.0
zstd,131072,524288000,4,1646.63,1.43,1048055993,0.95,0.23828724661873346,True,1640.0,1640.9,1652.8,1645.5,1643.9,1639.6,1641.9,1650.2,1659.1,1652.4
zstd,131072,524288000,5,1646.68,1.43,1048055993,0.95,0.23830892358474465,True,1657.1,1636.8,1645.3,1651.3,1646.5,1655.7,1649.3,1637.4,1652.4,1635.1
zstd,65536,524288000,5,1502.21,1.30,1050019175,0.95,0.1748468513528777,False,1495.8,1482.4,1506.8,1503.2,1500.3,1504.3,1508.6,1505.4,1511.2,1504.2
zlib,131072,524288000,5,1239.17,1.07,1051642196,0.95,0.060189972878739506,False,1238.6,1243.1,1245.0,1238.0,1237.3,1234.8,1238.4,1242.0,1229.4,1245.0
zstd,131072,419430400,5,1673.58,1.45,1048055993,0.95,0.249960892305651,True,1838.8,1646.2,1656.8,1653.9,1659.9,1655.3,1653.2,1653.0,1658.5,1660.2
zstd,262144,419430400,5,1776.38,1.54,1042559872,0.94,0.2969765280611167,True,1987.7,1749.8,1753.9,1749.1,1758.2,1746.3,1755.2,1753.0,1749.7,1760.9
zstd,262144,419430400,4,1749.13,1.52,1042559872,0.94,0.28517410890874734,True,1750.5,1746.7,1750.8,1751.5,1739.3,1751.0,1752.2,1745.7,1755.5,1748.1
