time,number_of_changes,compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),throughput_increase(%),size_decrease(%),performance(%),accepted,writing_time,processing_time,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,res_13,res_14,res_15,res_16,res_17,res_18,res_19
23-04-21_17:08:35,1,zstd,1048576,524288000,5,1172.71,1016284185,46.794,7.902,27.348,False,23.267,38.584,1161.6,1157.8,1280.9,1175.2,1166.9,1153.3,1200.0,1158.7,1183.8,1159.2,1174.0,1168.9,1166.5,1174.6,1167.5,1170.8,1165.5,1156.7,1157.3,1154.9
23-04-21_17:09:48,1,lz4,1048576,419430400,5,1276.61,1096904720,59.801,0.596,30.198,True,36.374,36.852,1266.6,1271.6,1275.0,1269.5,1277.4,1267.6,1273.4,1282.6,1307.7,1268.0,1279.6,1286.8,1276.1,1268.1,1278.0,1278.3,1274.4,1274.5,1274.0,1283.1
23-04-21_17:11:02,1,lz4,1048576,524288000,5,1266.91,1096904720,58.586,0.596,29.591,False,36.847,36.985,1261.5,1261.0,1282.1,1250.9,1256.0,1277.5,1272.1,1276.8,1275.1,1273.2,1256.9,1276.9,1255.7,1255.1,1276.2,1255.8,1281.8,1258.7,1273.7,1261.0
23-04-21_17:25:55,3,lzma,1048576,314572800,4,35.79,988695125,-95.521,10.402,-42.559,False,242.248,650.099,35.9,35.5,35.5,35.9,35.9,35.9,35.5,36.1,35.6,35.9,35.9,35.8,35.9,35.4,35.9,35.7,35.9,35.8,36.0,35.8
23-04-21_17:27:09,2,lz4,2097152,419430400,4,1281.02,1096480197,60.352,0.635,30.493,True,37.456,36.770,1276.9,1294.0,1296.6,1283.9,1291.9,1287.1,1274.6,1266.5,1276.2,1273.5,1270.9,1268.2,1289.9,1284.4,1270.7,1271.2,1280.7,1292.1,1290.4,1280.7
23-04-21_17:28:22,1,lz4,1048576,419430400,4,1288.35,1096904720,61.270,0.596,30.933,True,36.356,36.720,1288.3,1271.2,1270.8,1277.1,1279.7,1278.6,1294.6,1288.8,1281.2,1292.5,1272.7,1313.3,1296.2,1302.3,1281.7,1291.2,1322.2,1288.1,1295.9,1280.5
23-04-21_17:29:37,2,lz4,2097152,314572800,4,1281.36,1096480623,60.395,0.635,30.515,False,38.172,36.782,1315.1,1279.3,1274.8,1267.8,1276.9,1272.2,1274.5,1274.6,1273.2,1288.9,1274.3,1278.9,1270.7,1290.6,1290.7,1287.9,1279.5,1282.0,1288.0,1287.4
23-04-21_17:30:51,1,lz4,1048576,419430400,3,1299.72,1096904720,62.693,0.596,31.645,True,37.041,36.565,1310.0,1312.0,1295.4,1310.7,1311.5,1302.5,1297.3,1296.9,1299.1,1301.7,1291.3,1296.9,1302.9,1311.4,1299.6,1303.4,1292.3,1285.5,1282.8,1291.5
23-04-21_17:32:03,1,lz4,524288,419430400,3,1274.52,1097761897,59.539,0.519,30.029,False,35.111,36.803,1270.3,1272.1,1284.8,1257.3,1264.3,1267.7,1290.5,1273.3,1268.0,1277.8,1265.2,1268.0,1300.5,1285.1,1265.9,1287.1,1285.0,1270.9,1269.0,1267.6
23-04-21_17:33:05,1,zstd,1048576,419430400,3,1164.16,1016284185,45.724,7.902,26.813,False,23.194,38.520,1156.2,1171.3,1163.9,1167.7,1164.7,1172.2,1149.4,1171.8,1171.5,1152.4,1165.4,1176.4,1172.4,1162.7,1158.8,1168.2,1154.4,1160.5,1164.7,1158.6
23-04-21_17:35:06,1,zlib,1048576,419430400,3,361.78,1035780520,-54.714,6.136,-24.289,False,39.413,81.498,365.2,364.3,361.1,364.5,359.9,359.7,359.6,361.0,363.1,359.7,361.7,363.3,361.7,359.9,361.9,362.2,359.7,363.7,361.8,361.7
23-04-21_17:36:19,2,lz4,2097152,314572800,3,1283.64,1096480623,60.681,0.635,30.658,True,37.343,35.954,1285.3,1271.3,1275.6,1284.7,1295.4,1277.3,1281.3,1277.0,1338.0,1287.2,1294.7,1273.7,1279.0,1277.7,1272.3,1271.4,1280.5,1287.7,1290.3,1272.4
23-04-21_17:37:21,1,zstd,2097152,314572800,3,1175.90,1016304525,47.194,7.900,27.547,False,24.185,37.892,1173.9,1171.8,1163.9,1179.3,1189.3,1165.7,1172.0,1176.4,1182.9,1174.2,1187.2,1166.8,1170.2,1182.3,1184.3,1194.6,1165.6,1181.0,1170.3,1166.5
23-04-21_17:38:36,1,lz4,2097152,314572800,4,1291.38,1096480623,61.649,0.635,31.142,True,37.602,36.739,1308.3,1285.7,1303.9,1305.3,1284.3,1288.6,1291.2,1279.0,1284.6,1280.3,1284.8,1300.5,1288.7,1281.5,1292.6,1290.0,1299.6,1298.4,1294.4,1285.9
23-04-21_17:39:49,1,lz4,2097152,209715200,4,1280.82,1096479487,60.328,0.635,30.481,True,37.543,35.065,1325.9,1281.9,1289.0,1281.8,1273.4,1268.6,1270.1,1274.9,1296.6,1270.8,1267.0,1281.8,1271.0,1276.0,1274.5,1286.6,1283.6,1280.1,1288.4,1274.4
23-04-21_17:40:37,2,none,1048576,209715200,4,1111.77,1574421433,39.167,-42.677,-1.755,False,11.090,37.401,1099.8,1106.0,1096.3,1104.8,1110.8,1103.6,1108.4,1277.6,1102.0,1094.7,1101.3,1104.8,1102.7,1091.3,1110.1,1104.5,1109.1,1105.9,1108.8,1093.0
23-04-21_17:42:37,1,zlib,2097152,209715200,4,363.12,1034406741,-54.546,6.260,-24.143,False,40.066,79.955,365.2,361.5,361.9,363.9,362.6,364.1,361.2,364.6,361.4,363.3,360.1,360.7,364.9,361.5,361.6,363.7,365.1,362.9,366.6,365.8
23-04-21_17:43:28,1,none,2097152,209715200,4,1107.72,1574373293,38.659,-42.673,-2.007,False,11.063,39.030,1111.3,1113.5,1105.9,1104.5,1107.6,1105.6,1100.9,1106.2,1101.3,1106.2,1100.6,1109.2,1112.2,1117.2,1106.6,1114.7,1106.1,1102.1,1118.7,1104.1
23-04-21_17:44:42,1,lz4,2097152,209715200,5,1304.02,1096479487,63.232,0.635,31.933,True,37.586,36.650,1288.8,1435.5,1468.8,1285.3,1296.4,1275.8,1275.9,1294.5,1295.0,1283.7,1295.1,1271.5,1291.7,1279.4,1288.2,1295.4,1279.6,1289.6,1310.9,1279.3
23-04-21_17:45:55,3,lz4,1048576,314572800,4,1286.26,1096916385,61.008,0.595,30.802,False,36.246,36.763,1287.2,1287.4,1313.8,1265.5,1289.7,1286.8,1271.0,1294.2,1296.2,1289.7,1290.4,1290.6,1271.1,1316.5,1268.6,1292.0,1279.2,1270.0,1274.4,1290.9
23-04-21_18:01:05,2,lzma,2097152,209715200,4,35.35,987841423,-95.574,10.480,-42.547,False,252.611,656.866,35.7,35.3,35.2,35.2,35.4,35.3,35.3,35.3,35.6,35.3,35.3,35.5,35.3,35.5,35.3,35.2,35.4,35.3,35.2,35.3
23-04-21_18:02:15,1,lz4,2097152,104857600,5,1248.28,1096483058,56.254,0.635,28.444,False,38.465,32.254,1241.0,1236.7,1236.5,1255.0,1255.2,1241.7,1242.9,1241.6,1261.1,1251.7,1244.9,1246.8,1259.5,1240.7,1250.5,1258.3,1249.9,1237.3,1257.3,1256.9
23-04-21_18:17:26,1,lzma,2097152,209715200,5,35.28,987841423,-95.583,10.480,-42.552,False,251.564,659.148,35.3,35.3,35.5,35.1,35.3,35.1,35.3,35.5,35.1,35.0,35.1,35.5,35.4,35.5,35.2,35.3,35.3,35.6,35.1,35.5
23-04-21_18:18:39,1,lz4,2097152,209715200,4,1281.01,1096479487,60.351,0.635,30.493,False,37.646,34.962,1316.0,1275.2,1280.8,1282.5,1264.5,1271.2,1303.7,1296.4,1272.9,1269.6,1283.1,1283.4,1281.7,1267.8,1302.0,1294.5,1274.0,1275.1,1260.7,1265.2
