compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),throughput_increase(%),size_decrease(%),performance(%),accepted,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9
zstd,524288,314572800,5,948.24,2543267376,90.21,26.595,58.403,False,985.2,981.1,856.8,979.0,982.0,981.1,980.9,971.5,790.4,974.4
zstd,1048576,314572800,4,961.05,2541126776,92.781,26.657,59.719,False,967.3,971.3,975.5,855.8,977.5,965.6,976.0,974.4,966.4,980.6
zstd,262144,314572800,4,782.57,2600410870,56.979,24.946,40.962,False,799.7,802.2,669.6,791.5,796.9,787.3,799.1,796.4,792.3,790.7
zstd,262144,314572800,4,765.21,2600410870,53.496,24.946,39.221,False,699.3,692.1,783.8,782.0,788.1,778.7,781.3,779.7,781.9,785.2
zstd,524288,314572800,5,955.33,2543267376,91.633,26.595,59.114,False,972.3,987.2,964.6,790.4,975.3,969.9,972.0,972.1,973.6,975.8
zstd,524288,314572800,3,956.02,2543267376,91.771,26.595,59.183,False,963.9,976.2,982.1,975.3,862.8,980.7,982.4,983.2,867.2,986.6
zstd,1048576,314572800,4,982.96,2541126776,97.174,26.657,61.916,True,980.7,986.7,979.9,971.9,983.2,990.6,988.5,979.4,982.3,986.3
zstd,1048576,209715200,4,905.69,2545253090,81.674,26.538,54.106,False,909.0,902.1,904.4,908.6,910.7,910.5,905.8,902.7,906.5,896.4
zstd,1048576,209715200,4,886.21,2545253090,77.768,26.538,52.153,False,877.5,883.3,886.7,887.5,888.7,889.9,890.4,886.2,891.2,880.9
zstd,1048576,314572800,3,978.15,2541126776,96.209,26.657,61.433,False,993.8,883.5,993.1,976.2,989.1,976.1,991.1,993.8,997.2,987.6
zlib,1048576,314572800,4,398.44,2777321003,-20.075,19.84,-0.117,False,405.6,400.4,401.0,406.3,407.4,373.5,369.8,404.4,408.0,408.0
zstd,1048576,314572800,3,994.33,2541126776,99.455,26.657,63.056,True,982.5,995.5,988.8,998.9,987.6,987.9,998.1,997.0,1009.7,997.2
zstd,2097152,314572800,3,961.7,2541376185,92.91,26.65,59.78,False,991.4,962.4,960.8,957.0,954.0,956.4,965.9,950.7,962.6,955.8
lz4,1048576,314572800,3,1060.17,3325031813,112.662,4.032,58.347,False,1074.7,997.0,1081.5,1067.9,1084.2,1076.0,1073.6,1069.4,1094.8,982.7
zstd,1048576,314572800,4,959.76,2541126776,92.522,26.657,59.589,False,858.8,986.0,971.6,982.4,983.5,984.2,865.4,988.1,990.1,987.4
zstd,1048576,419430400,3,981.48,2538765332,96.877,26.725,61.801,True,997.8,980.0,992.4,869.7,994.5,998.0,992.5,998.4,992.1,999.5
zstd,1048576,524288000,3,1042.07,2537676254,109.032,26.757,67.894,True,1045.2,1032.0,1065.6,1055.5,1068.2,1068.3,1068.9,912.4,1051.9,1052.8
zstd,1048576,419430400,3,987.4,2538765332,98.066,26.725,62.396,False,980.1,984.7,995.9,984.7,989.4,992.9,993.6,995.0,991.0,966.7
zstd,1048576,419430400,3,982.44,2538765332,97.07,26.725,61.898,False,1019.7,995.8,998.8,987.0,991.5,863.6,1000.4,997.6,994.3,975.8
zstd,1048576,524288000,2,1059.48,2537676254,112.524,26.757,69.64,True,1049.0,1058.4,1069.8,1043.6,1061.8,1066.4,1053.3,1065.6,1065.6,1061.2
none,1048576,524288000,2,775.09,8543657747,55.478,-146.59,-45.556,False,789.3,764.3,775.2,792.2,755.8,771.9,790.1,780.1,750.2,781.8
zstd,1048576,524288000,1,1051.6,2537676254,110.943,26.757,68.85,True,1051.5,1044.2,1051.7,1046.4,1046.6,1059.7,1039.4,1048.3,1050.4,1077.7
lz4,1048576,524288000,1,1149.0,3321569457,130.481,4.132,67.306,False,1147.2,1167.3,1134.1,1133.7,1122.2,1151.2,1148.7,1177.9,1142.0,1165.9
zstd,1048576,524288000,2,1047.12,2537676254,110.044,26.757,68.4,False,1055.7,1047.0,1058.9,1063.8,1065.2,1070.7,950.7,1046.1,1055.4,1057.4
zstd,524288,524288000,1,940.91,2539309035,88.741,26.71,57.725,False,918.6,950.2,948.2,937.3,953.4,939.8,936.1,928.4,951.3,945.8
zstd,524288,524288000,1,941.93,2539309035,88.944,26.71,57.827,False,922.9,942.8,960.9,926.0,966.5,938.1,940.6,949.4,935.6,936.5
zstd,524288,524288000,1,938.07,2539309035,88.17,26.71,57.44,False,945.5,947.9,868.3,941.0,942.5,953.3,952.9,947.3,946.4,935.7
none,1048576,524288000,1,839.68,8543657747,68.435,-146.59,-39.078,False,836.1,834.8,834.6,844.2,845.2,840.3,847.9,840.4,842.0,831.3
