compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),throughput_increase(%),size_decrease(%),performance(%),accepted,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9
lz4,1048576,314572800,2,780.82,2260403129,46.055,1.99,24.022,False,761.1,765.7,772.4,789.9,794.0,790.7,778.6,780.1,785.6,790.0
lz4,2097152,314572800,3,875.26,2257959112,63.722,2.096,32.909,True,874.2,885.1,877.6,878.6,882.2,867.2,858.7,880.3,879.5,869.1
lz4,1048576,314572800,3,797.48,2260403129,49.173,1.99,25.581,False,805.4,795.1,792.2,793.7,802.0,794.3,801.5,796.9,797.7,796.0
zstd,2097152,314572800,3,789.71,1769178384,47.719,23.289,35.504,True,806.8,815.5,799.3,782.4,788.8,785.8,776.1,786.0,775.2,781.2
zstd,2097152,314572800,2,784.12,1769178384,46.672,23.289,34.981,True,786.3,789.4,769.9,780.9,785.8,799.1,786.4,760.1,789.8,793.5
lzma,2097152,314572800,2,47.96,1633337367,-91.028,29.179,-30.925,False,48.1,47.7,48.0,48.0,47.8,47.8,48.3,47.7,48.2,48.0
zstd,4194304,314572800,2,884.42,1546622277,65.435,32.939,49.187,True,890.9,899.3,900.5,893.5,864.8,904.2,890.6,904.2,838.0,858.3
zstd,4194304,419430400,2,888.55,1546622277,66.206,32.939,49.573,True,900.6,892.1,826.5,900.2,887.8,908.2,876.9,892.8,899.7,900.7
zstd,8388608,419430400,2,910.33,1394823509,70.281,39.521,54.901,True,910.2,903.1,915.9,922.3,887.7,898.6,930.8,906.1,917.2,911.5
zstd,8388608,314572800,2,902.91,1394823509,68.893,39.521,54.207,False,913.8,863.8,896.3,900.7,900.6,891.6,903.2,915.1,930.5,913.5
none,8388608,419430400,2,988.84,4667104709,84.966,-102.364,-8.699,False,982.0,991.5,992.7,982.9,981.4,985.5,989.9,1004.1,986.3,992.0
none,8388608,419430400,2,1049.08,4667104709,96.234,-102.364,-3.065,False,1046.7,1051.9,1056.5,1045.5,1053.5,1044.0,1050.1,1044.4,1048.7,1049.5
zstd,8388608,419430400,3,902.5,1394823509,68.816,39.521,54.168,False,896.4,898.1,908.7,914.3,889.3,868.2,922.5,905.9,906.4,915.3
zstd,4194304,419430400,2,879.63,1546622277,64.539,32.939,48.739,False,883.1,876.6,862.3,881.1,885.8,886.0,879.5,880.2,903.0,858.6
zstd,4194304,419430400,2,894.64,1546622277,67.347,32.939,50.143,False,903.4,901.9,886.5,878.8,891.6,899.3,898.4,915.2,890.0,881.3
zstd,8388608,314572800,2,904.28,1394823509,69.149,39.521,54.335,True,901.6,896.6,910.1,909.2,883.3,910.8,908.6,920.0,902.2,900.5
zstd,8388608,314572800,3,918.03,1394823509,71.721,39.521,55.621,True,911.0,911.8,923.0,918.8,930.3,918.7,916.4,904.2,919.9,926.1
zstd,8388608,209715200,3,844.06,1576545839,57.885,31.642,44.763,False,862.2,859.5,859.7,844.1,825.4,835.6,848.4,834.3,823.3,848.0
lzma,8388608,314572800,3,59.84,1273178026,-88.807,44.795,-22.006,False,59.8,60.2,59.8,60.5,59.6,60.0,59.6,59.8,59.6,59.6
zstd,4194304,314572800,3,901.29,1546622277,68.591,32.939,50.765,False,893.3,887.3,871.1,898.8,924.5,905.0,931.1,901.7,908.1,892.0
zlib,8388608,314572800,3,345.09,2074073580,-35.448,10.069,-12.69,False,352.2,344.5,343.9,346.9,340.7,342.8,346.7,343.0,346.4,343.9
zstd,8388608,314572800,2,893.89,1394823509,67.205,39.521,53.363,False,901.0,894.4,880.2,836.2,892.0,913.8,904.8,906.5,897.6,912.3
zstd,8388608,419430400,3,915.26,1394823509,71.203,39.521,55.362,True,906.3,907.3,945.4,915.4,919.5,916.6,916.4,904.0,913.4,908.2
zstd,4194304,419430400,3,890.99,1546622277,66.664,32.939,49.801,False,897.5,881.7,889.7,883.6,901.9,898.6,890.2,886.4,884.6,895.7
zlib,8388608,419430400,3,343.66,2074073580,-35.718,10.069,-12.824,False,350.0,343.7,346.7,344.0,341.3,343.4,343.7,343.7,340.1,339.9
zstd,8388608,524288000,3,911.39,1394823509,70.48,39.521,55.0,False,917.3,919.0,896.5,916.2,934.7,891.7,924.7,917.5,892.6,903.6
zstd,8388608,314572800,3,914.36,1394823509,71.035,39.521,55.278,True,903.5,933.7,933.2,897.9,908.6,924.0,913.2,928.1,892.6,908.7
zstd,4194304,314572800,3,889.48,1546622277,66.381,32.939,49.66,False,885.0,874.3,877.8,894.5,894.2,897.2,893.6,896.1,889.5,892.8
zstd,8388608,209715200,3,850.66,1576545839,59.119,31.642,45.381,False,838.5,866.1,853.1,860.9,851.2,867.9,833.4,850.5,830.8,854.3
zstd,16777216,314572800,3,812.8,2713925194,52.038,-17.675,17.182,False,806.7,826.4,782.0,808.0,825.6,816.9,821.2,802.1,826.4,812.8
zstd,16777216,314572800,3,824.78,2713925194,54.278,-17.675,18.302,False,845.3,852.0,814.3,827.2,825.8,823.7,834.2,785.3,818.3,821.6
lz4,8388608,314572800,3,865.35,2257042865,61.867,2.135,32.001,False,866.8,857.7,881.7,874.0,861.9,867.6,863.9,858.6,857.4,863.8
zstd,8388608,419430400,3,910.18,1394823509,70.254,39.521,54.887,True,918.6,884.3,908.9,911.9,898.5,916.1,919.8,895.5,923.6,924.6
lz4,8388608,419430400,3,887.81,2256854823,66.069,2.144,34.107,False,903.1,900.0,897.5,866.6,857.8,894.3,886.7,886.6,894.6,890.9
zstd,16777216,419430400,3,885.56,2485259261,65.648,-7.76,28.944,False,875.5,895.3,879.8,883.5,895.5,888.1,880.1,885.1,897.3,875.4
none,8388608,419430400,3,1004.62,4667104709,87.918,-102.364,-7.223,False,1013.0,991.5,1004.5,1013.9,1017.0,994.6,987.8,1015.7,1002.0,1006.2
zstd,8388608,419430400,4,901.39,1394823509,68.61,39.521,54.065,False,917.6,914.2,902.3,888.9,879.1,896.3,919.9,884.2,898.4,913.1
zstd,4194304,419430400,3,904.23,1546622277,69.141,32.939,51.04,False,911.4,907.4,911.5,902.8,897.1,919.0,900.7,896.4,897.8,898.2
zstd,4194304,419430400,3,895.47,1546622277,67.501,32.939,50.22,False,903.4,907.9,910.2,909.6,888.8,897.5,875.7,886.0,880.6,895.0
zstd,8388608,419430400,2,897.6,1394823509,67.9,39.521,53.711,False,893.7,895.9,905.4,889.2,893.7,906.4,910.8,908.9,881.9,890.0
zlib,8388608,419430400,3,344.93,2074073580,-35.48,10.069,-12.705,False,349.5,350.5,347.7,345.4,344.8,336.1,340.2,346.0,342.2,346.8
zstd,8388608,419430400,2,898.44,1394823509,68.058,39.521,53.79,False,891.7,916.1,907.4,904.7,889.7,905.0,883.7,902.9,892.3,891.1
zlib,8388608,419430400,3,345.02,2074073580,-35.463,10.069,-12.697,False,341.7,343.3,346.0,342.9,348.1,348.4,346.1,345.7,342.6,345.3
zstd,8388608,314572800,3,911.77,1394823509,70.55,39.521,55.035,True,923.1,893.1,907.9,922.3,914.0,903.7,907.4,916.9,909.0,920.4
zstd,4194304,314572800,3,893.9,1546622277,67.207,32.939,50.073,False,909.3,902.0,895.5,890.6,895.3,885.3,888.7,881.4,899.9,890.9
zstd,8388608,419430400,3,913.13,1394823509,70.805,39.521,55.163,True,917.2,908.2,907.6,911.7,892.2,893.2,933.7,921.6,945.2,900.6
zstd,4194304,419430400,3,894.56,1546622277,67.332,32.939,50.135,False,915.2,910.8,872.2,896.0,881.0,883.1,905.0,901.1,894.9,886.4
zstd,4194304,419430400,3,884.11,1546622277,65.377,32.939,49.158,False,895.2,891.7,875.6,879.4,879.3,888.7,862.8,877.5,892.2,898.6
zstd,4194304,419430400,3,882.18,1546622277,65.017,32.939,48.978,False,878.7,851.3,896.0,907.2,886.8,874.0,880.5,887.1,878.8,881.4
zstd,8388608,419430400,2,903.33,1394823509,68.971,39.521,54.246,False,885.9,905.9,898.0,907.5,905.5,910.6,893.9,916.9,910.9,898.2
zstd,16777216,419430400,3,898.31,2485259261,68.034,-7.76,30.137,False,890.8,893.7,922.3,906.4,908.0,913.7,899.2,903.6,887.4,858.1
zstd,4194304,419430400,3,882.79,1546622277,65.13,32.939,49.035,False,883.1,875.5,892.4,884.9,866.9,900.2,899.1,886.1,860.6,879.0
zstd,8388608,419430400,2,894.39,1394823509,67.301,39.521,53.411,True,884.2,889.9,913.6,893.2,910.9,894.9,900.0,872.3,896.0,888.9
lzma,8388608,419430400,2,59.77,1273178026,-88.82,44.795,-22.012,False,59.6,59.4,59.3,60.3,60.0,60.0,60.1,59.6,59.7,59.5
zstd,8388608,524288000,2,891.99,1394823509,66.85,39.521,53.185,True,909.5,895.9,891.1,882.5,893.3,915.7,905.8,880.6,897.0,848.4
zstd,8388608,524288000,3,918.26,1394823509,71.764,39.521,55.643,True,912.7,947.6,948.3,913.3,920.7,909.7,911.0,894.0,924.7,900.6
zstd,8388608,524288000,4,928.14,1394823509,73.612,39.521,56.567,True,926.1,926.8,913.7,926.7,872.4,943.4,948.8,948.5,947.1,927.8
lzma,8388608,524288000,4,59.97,1273178026,-88.781,44.795,-21.993,False,59.5,59.8,59.5,60.4,60.1,59.9,60.2,59.8,60.0,60.4
zstd,16777216,524288000,4,888.45,2485259261,66.188,-7.76,29.214,False,906.5,918.6,918.6,882.5,867.7,869.2,873.9,879.5,860.0,907.8
zstd,8388608,419430400,4,896.93,1394823509,67.775,39.521,53.648,False,915.5,893.2,872.9,885.7,914.2,899.0,903.9,893.4,889.7,901.8
none,8388608,524288000,4,1081.9,4667081289,102.375,-102.363,0.006,False,1078.0,1084.5,1080.6,1083.6,1083.9,1084.4,1085.7,1075.5,1077.8,1085.0
