time,compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),memory,throughput_increase(%),size_decrease(%),memory_decrease(%),performance(%),accepted,writing_time,processing_time,throughput_0,throughput_1,throughput_2,throughput_3,throughput_4,throughput_5,throughput_6,throughput_7,throughput_8,throughput_9,throughput_10,throughput_11,throughput_12,throughput_13,throughput_14,throughput_15,throughput_16,throughput_17,throughput_18,throughput_19,memory_0,memory_1,memory_2,memory_3,memory_4,memory_5,memory_6,memory_7,memory_8,memory_9,memory_10,memory_11,memory_12,memory_13,memory_14,memory_15,memory_16,memory_17,memory_18,memory_19
23-04-25_20:09:29,zstd,1048576,10485760,2,1238.42,861535177,313567.00,65.693,21.036,20.659,35.796,False,60.994,52.572,1234.1,1245.8,1239.6,1241.5,1234.5,1239.8,1236.6,1240.8,1236.7,1240.4,1240.0,1245.1,1243.9,1233.9,1236.3,1234.6,1221.0,1237.8,1245.3,1240.8,313476.0,312576.0,313004.0,314292.0,313660.0,313676.0,313680.0,314304.0,313600.0,313700.0,313700.0,313704.0,313648.0,312616.0,312640.0,314064.0,314428.0,313356.0,312884.0,314332.0
23-04-25_20:11:31,lz4,1048576,20971520,2,1585.59,1078480886,353891.00,112.142,1.152,10.456,41.250,False,72.516,49.054,1510.2,1520.9,1524.2,1523.9,1527.2,1513.8,1564.0,1525.9,1535.1,1507.5,1525.2,1531.6,1663.8,1658.8,1686.4,1669.4,1681.2,1679.3,1685.2,1678.1,353488.0,354164.0,353720.0,355152.0,354436.0,354596.0,353340.0,353072.0,354084.0,354124.0,353724.0,354104.0,353800.0,354108.0,353460.0,353348.0,353260.0,354120.0,353296.0,354424.0
23-04-25_20:13:29,lz4,1048576,10485760,3,1729.24,1079825345,332274.00,131.362,1.029,15.925,49.439,True,70.732,47.641,1570.7,1728.2,1752.2,1729.2,1764.6,1717.0,1761.5,1739.8,1734.9,1727.1,1757.5,1739.8,1722.5,1735.6,1733.8,1729.4,1725.5,1739.6,1738.6,1737.6,331904.0,331760.0,333052.0,333660.0,331544.0,331996.0,331992.0,332012.0,332204.0,332532.0,332780.0,331592.0,332640.0,331316.0,331812.0,332504.0,331796.0,332504.0,332508.0,333372.0
23-04-25_20:15:33,lz4,1048576,20971520,3,1529.04,1078480886,375766.60,104.576,1.152,4.921,36.883,False,73.367,49.821,1468.0,1616.9,1621.0,1659.0,1616.0,1488.9,1480.4,1622.7,1606.5,1489.2,1487.3,1500.8,1520.5,1471.2,1485.8,1500.8,1493.5,1478.1,1488.4,1485.7,375436.0,376444.0,376540.0,375076.0,375088.0,375656.0,375644.0,375548.0,375656.0,376060.0,375732.0,375556.0,376128.0,375248.0,375336.0,376548.0,376372.0,375500.0,376104.0,375660.0
23-04-25_20:17:33,lz4,1048576,10485760,2,1545.84,1079825345,316080.00,106.823,1.029,20.023,42.625,False,71.774,48.208,1551.3,1557.7,1534.9,1594.9,1544.9,1534.8,1525.3,1539.9,1547.9,1539.8,1536.0,1541.8,1536.5,1538.2,1559.8,1539.6,1551.1,1535.3,1552.5,1554.7,315836.0,316824.0,315700.0,315628.0,316824.0,315832.0,315456.0,315692.0,315996.0,317412.0,315896.0,315436.0,317432.0,316212.0,316684.0,315780.0,315416.0,316124.0,315308.0,316112.0
23-04-25_20:19:31,lz4,1048576,10485760,2,1560.55,1079825345,315995.00,108.792,1.029,20.045,43.288,False,69.561,48.318,1550.5,1560.2,1544.9,1533.6,1625.2,1569.1,1550.4,1563.6,1554.7,1565.6,1595.3,1555.4,1548.3,1546.2,1569.5,1550.7,1551.4,1561.5,1547.6,1567.2,316764.0,315408.0,316440.0,316140.0,316676.0,316012.0,315920.0,315724.0,315168.0,315124.0,315592.0,315600.0,315740.0,315620.0,315720.0,316720.0,316320.0,315940.0,316468.0,316804.0
23-04-25_20:21:34,lz4,1048576,20971520,3,1496.34,1078480886,376130.60,100.200,1.152,4.829,35.393,False,73.491,49.723,1489.2,1480.8,1505.0,1488.1,1477.6,1480.3,1564.8,1484.4,1496.4,1464.1,1597.4,1489.3,1471.8,1496.1,1460.5,1501.7,1469.8,1519.8,1488.9,1500.6,375264.0,375628.0,377060.0,376348.0,375568.0,376568.0,375760.0,376380.0,375680.0,376344.0,375056.0,375320.0,376536.0,376344.0,376412.0,377088.0,376452.0,375992.0,376364.0,376448.0
23-04-25_20:23:34,lz4,2097152,10485760,3,1651.83,1079825345,332477.40,121.004,1.029,15.874,45.969,False,71.619,48.003,1556.7,1600.1,1532.5,1727.9,1732.3,1724.4,1725.0,1735.3,1742.2,1760.9,1713.7,1720.7,1704.5,1718.9,1536.7,1536.3,1610.3,1533.4,1571.7,1553.0,332284.0,333136.0,331680.0,332104.0,333340.0,331560.0,332896.0,332280.0,331716.0,332484.0,332064.0,333036.0,332484.0,332520.0,331556.0,333440.0,333396.0,333128.0,332536.0,331908.0
23-04-25_20:25:31,lz4,1048576,10485760,2,1556.79,1079825345,316044.20,108.289,1.029,20.032,43.116,False,69.475,48.299,1548.2,1588.1,1542.8,1639.5,1553.8,1541.8,1558.5,1544.0,1551.1,1542.4,1553.1,1537.6,1543.7,1553.9,1526.3,1547.6,1549.2,1609.4,1556.3,1548.6,316076.0,316392.0,315172.0,315956.0,316236.0,315916.0,315644.0,316184.0,315220.0,316836.0,316020.0,315316.0,316008.0,315756.0,316796.0,316144.0,316020.0,316452.0,315956.0,316784.0
23-04-25_20:27:31,lz4,524288,10485760,3,1567.56,1079825339,332975.00,109.729,1.029,15.748,42.169,False,70.821,48.705,1559.9,1553.5,1549.7,1568.3,1569.9,1571.0,1548.9,1553.9,1565.8,1564.8,1545.3,1556.5,1555.9,1577.1,1591.6,1558.3,1576.3,1561.1,1617.3,1606.1,332796.0,332364.0,338112.0,337860.0,331760.0,331920.0,331792.0,331516.0,333064.0,332832.0,332896.0,332832.0,332164.0,333392.0,331548.0,333164.0,331904.0,333104.0,333076.0,331404.0
