compression,Page Size,Cluster Size,Cluster Bunch,throughput_atlas(MB/s),throughput_cms(MB/s),throughput_h1(MB/s),throughput_lhcb(MB/s),size_atlas(MB),size_cms(MB),size_h1(MB),size_lhcb(MB),writing_time_atlas(s),writing_time_cms(s),writing_time_h1(s),writing_time_lhcb(s),processing_time_atlas(s),processing_time_cms(s),processing_time_h1(s),processing_time_lhcb(s),throughput_increase_atlas(%),throughput_increase_cms(%),throughput_increase_h1(%),throughput_increase_lhcb(%),size_decrease_atlas(%),size_decrease_cms(%),size_decrease_h1(%),size_decrease_lhcb(%),performance_atlas(%),performance_cms(%),performance_h1(%),performance_lhcb(%),performance(%),accepted,res_atlas_0,res_atlas_1,res_atlas_2,res_atlas_3,res_atlas_4,res_atlas_5,res_atlas_6,res_atlas_7,res_atlas_8,res_atlas_9,res_atlas_10,res_atlas_11,res_atlas_12,res_atlas_13,res_atlas_14,res_atlas_15,res_atlas_16,res_atlas_17,res_atlas_18,res_atlas_19,res_cms_0,res_cms_1,res_cms_2,res_cms_3,res_cms_4,res_cms_5,res_cms_6,res_cms_7,res_cms_8,res_cms_9,res_cms_10,res_cms_11,res_cms_12,res_cms_13,res_cms_14,res_cms_15,res_cms_16,res_cms_17,res_cms_18,res_cms_19,res_h1_0,res_h1_1,res_h1_2,res_h1_3,res_h1_4,res_h1_5,res_h1_6,res_h1_7,res_h1_8,res_h1_9,res_h1_10,res_h1_11,res_h1_12,res_h1_13,res_h1_14,res_h1_15,res_h1_16,res_h1_17,res_h1_18,res_h1_19,res_lhcb_0,res_lhcb_1,res_lhcb_2,res_lhcb_3,res_lhcb_4,res_lhcb_5,res_lhcb_6,res_lhcb_7,res_lhcb_8,res_lhcb_9,res_lhcb_10,res_lhcb_11,res_lhcb_12,res_lhcb_13,res_lhcb_14,res_lhcb_15,res_lhcb_16,res_lhcb_17,res_lhcb_18,res_lhcb_19
lz4,524288,104857600,1,1295.961,855.461,892.037,1200.777,1079200433,3349585070,2264147157,1097688171,72.423,309.247,111.500,36.562,49.346,17.859,21.640,31.301,70.932,77.084,85.337,56.805,1.086,3.323,1.827,0.525,36.009,40.204,43.582,28.665,37.115,True,1334.50,1270.96,1255.44,1261.75,1241.27,1265.18,1292.20,1210.25,1284.06,1332.16,1248.08,1361.91,1301.05,1320.00,1246.43,1266.32,1342.33,1241.29,1476.62,1367.41,855.87,853.69,849.74,855.14,859.64,863.21,854.26,850.06,845.96,862.83,848.87,861.27,859.58,843.87,872.33,849.84,852.81,854.65,855.70,859.89,875.75,872.61,892.82,883.12,885.59,911.44,883.43,898.61,897.85,897.93,884.40,910.83,907.79,893.60,886.05,901.49,886.44,892.07,879.16,899.75,1279.69,1206.27,1198.15,1183.10,1170.67,1207.87,1230.89,1165.43,1222.27,1213.66,1188.63,1190.89,1198.43,1195.76,1203.40,1188.57,1163.74,1202.38,1189.12,1216.63
zlib,524288,104857600,1,435.376,373.069,350.067,336.582,763314173,2799219975,2079947775,1037951390,71.931,305.115,106.051,39.867,73.130,19.165,31.770,73.732,-42.576,-22.773,-27.267,-56.047,30.038,19.208,9.814,5.939,-6.269,-1.783,-8.726,-25.054,-10.458,False,424.96,421.58,408.61,387.70,384.28,393.79,381.87,389.82,383.51,393.70,389.73,379.77,494.27,501.07,497.08,497.55,495.45,489.92,504.53,488.33,368.86,376.25,375.72,375.39,374.76,370.81,379.28,368.50,374.45,373.56,376.42,369.31,370.61,371.19,371.20,374.26,371.07,372.29,373.64,373.79,350.15,348.03,353.74,349.69,352.85,355.22,352.88,350.85,355.04,342.73,348.48,350.79,352.28,349.73,346.21,351.70,349.65,347.27,347.79,346.27,339.90,304.53,336.20,302.11,336.67,336.07,338.93,337.06,339.68,340.43,342.57,335.76,342.57,337.30,348.21,338.51,339.81,339.98,353.34,342.03
lz4,262144,104857600,1,1142.582,837.353,768.062,1119.030,1081421738,3371871562,2272685626,1099061235,69.637,304.335,107.908,34.547,49.750,17.813,22.684,32.624,50.702,73.336,59.579,46.130,0.882,2.680,1.457,0.401,25.792,38.008,30.518,23.265,29.396,False,1161.53,1127.47,1128.89,1145.12,1161.04,1125.48,1120.12,1125.10,1141.57,1133.04,1140.55,1133.78,1200.20,1126.85,1170.84,1142.44,1115.80,1134.50,1215.90,1101.41,825.65,833.19,832.62,831.33,839.00,833.85,833.43,838.30,837.28,834.22,839.35,842.99,844.21,835.12,838.44,851.29,831.95,841.56,842.31,840.97,759.89,761.55,770.00,753.34,767.62,756.07,762.58,766.68,754.41,815.71,767.66,753.89,765.44,761.18,767.79,756.09,770.78,823.34,763.80,763.43,1097.06,1112.71,1119.90,1137.48,1108.62,1144.84,1122.44,1107.02,1096.66,1117.84,1139.43,1123.44,1123.53,1110.00,1120.44,1130.05,1106.00,1118.88,1115.04,1129.22
lz4,262144,104857600,1,1131.969,820.623,790.331,1149.548,1081421738,3371871562,2272685626,1099061235,70.660,304.701,107.955,35.315,49.267,17.767,22.510,32.477,49.302,69.872,64.206,50.115,0.882,2.680,1.457,0.401,25.092,36.276,32.832,25.258,29.864,False,1189.06,1144.36,1138.43,1119.11,1098.52,1099.52,1100.97,1107.64,1096.70,1209.56,1129.21,1098.57,1120.96,1170.65,1099.78,1097.07,1158.78,1106.94,1165.61,1187.93,819.51,826.21,828.56,830.16,814.44,811.72,817.05,826.75,822.39,817.87,816.85,814.82,822.47,819.86,821.90,824.33,817.38,822.08,818.65,819.45,789.82,786.64,772.31,791.80,784.08,786.97,789.06,788.66,772.08,787.29,851.21,776.01,779.56,794.16,781.40,791.07,789.60,790.83,822.83,781.26,1119.38,1143.17,1163.67,1121.15,1211.60,1152.15,1132.60,1117.46,1145.16,1114.52,1165.27,1159.85,1144.39,1152.28,1134.87,1144.09,1193.43,1179.67,1151.95,1144.32
lz4,1048576,104857600,1,1289.897,854.834,972.035,1203.621,1078256406,3339921198,2261544877,1096892258,72.740,299.650,112.740,37.178,50.429,17.806,20.945,31.163,70.132,76.954,101.958,57.176,1.172,3.602,1.940,0.597,35.652,40.278,51.949,28.887,39.192,True,1255.70,1259.74,1366.40,1286.69,1293.38,1261.66,1258.93,1283.44,1253.37,1238.26,1289.27,1413.70,1257.26,1255.60,1364.70,1262.30,1264.22,1287.20,1291.98,1354.13,866.29,865.97,854.36,852.29,852.90,860.21,856.37,861.13,851.51,851.61,852.16,842.94,847.84,849.08,853.92,865.61,845.28,864.69,841.69,860.84,974.34,964.63,980.73,969.40,972.78,947.49,959.49,970.83,977.87,963.72,941.84,968.08,990.23,996.21,984.18,972.47,975.92,965.06,975.38,990.06,1179.26,1198.67,1204.68,1192.69,1204.67,1220.95,1190.81,1205.61,1184.19,1223.94,1207.04,1233.38,1194.85,1213.43,1205.17,1181.63,1200.06,1204.46,1217.95,1208.99
lz4,1048576,104857600,2,1197.640,851.507,958.326,1192.452,1078256406,3339921198,2261544877,1096892258,72.665,298.187,111.757,37.164,51.547,17.783,21.224,32.199,57.963,76.266,99.110,55.718,1.172,3.602,1.940,0.597,29.568,39.934,50.525,28.158,37.046,False,1333.92,1247.65,1243.62,1234.53,1263.69,1198.94,1132.00,1069.88,1034.05,969.69,897.23,1254.07,1239.31,1255.36,1232.59,1236.34,1343.87,1227.26,1257.89,1280.89,853.40,842.74,844.09,842.53,856.19,851.64,848.83,847.71,850.82,854.11,857.61,855.26,851.59,857.49,865.21,844.50,858.93,851.94,849.84,845.72,966.62,970.35,971.05,969.33,938.69,944.17,960.04,958.15,966.86,966.47,956.18,962.10,965.47,965.79,958.73,958.36,928.04,937.27,960.39,962.46,1172.69,1188.17,1205.28,1168.90,1182.63,1198.87,1166.03,1171.72,1167.96,1161.55,1297.00,1179.99,1180.77,1169.68,1168.25,1181.41,1185.85,1193.32,1197.79,1311.18
lz4,2097152,104857600,1,1378.359,859.221,1055.973,1209.975,1077688922,3335207321,2260127456,1096483058,75.112,302.013,113.492,38.531,50.527,17.658,20.419,30.793,81.800,77.862,119.398,58.006,1.224,3.738,2.002,0.635,41.512,40.800,60.700,29.320,43.083,True,1355.02,1368.29,1374.61,1362.55,1362.20,1429.27,1372.24,1373.49,1368.39,1407.27,1376.79,1364.36,1387.79,1368.82,1364.82,1379.87,1364.51,1478.51,1360.50,1347.90,863.12,858.40,861.61,847.29,857.20,861.16,858.72,860.83,858.20,859.78,860.10,850.96,854.65,878.58,861.55,859.24,860.42,860.99,858.63,852.98,1066.54,1057.05,1063.85,1064.46,1052.69,1041.82,1033.05,1069.47,1060.11,1045.77,1062.47,1082.19,1042.12,1079.61,1057.52,1048.47,1055.09,1052.17,1039.47,1045.54,1194.81,1181.34,1194.00,1188.61,1188.88,1187.44,1185.91,1206.72,1190.60,1207.46,1294.34,1202.92,1209.41,1178.00,1195.74,1219.87,1280.42,1227.36,1288.13,1177.53
lz4,2097152,209715200,1,1374.083,938.082,1094.025,1231.178,1077687656,3323846761,2258482062,1096479487,77.366,315.803,113.150,38.765,50.742,17.413,19.902,31.105,81.236,94.187,127.304,60.775,1.225,4.066,2.073,0.635,41.230,49.126,64.689,30.705,46.437,True,1383.60,1371.68,1375.80,1355.36,1374.99,1427.87,1429.44,1369.08,1376.78,1369.82,1362.91,1382.06,1359.17,1365.77,1344.68,1390.25,1352.88,1332.97,1378.74,1377.82,934.79,934.74,926.95,944.16,943.91,956.14,941.77,934.52,933.78,932.29,938.13,933.01,939.20,942.15,938.05,935.15,949.59,931.88,938.24,933.20,1110.43,1099.09,1078.18,1045.72,1152.27,1138.89,1094.58,1107.35,1076.07,1049.39,1094.27,1112.54,1041.59,1140.66,1095.90,1097.44,1097.38,1055.81,1104.56,1088.37,1227.97,1249.99,1220.75,1215.51,1300.79,1237.48,1219.35,1241.30,1205.87,1231.27,1217.25,1240.85,1203.82,1246.43,1229.75,1206.48,1233.40,1221.57,1222.02,1251.71
lz4,2097152,209715200,2,1136.021,945.724,993.859,1235.094,1077687656,3323846761,2258482062,1096479487,74.787,304.072,113.745,37.703,51.067,17.481,21.318,32.643,49.836,95.769,106.493,61.286,1.225,4.066,2.073,0.635,25.530,49.917,54.283,30.960,40.173,False,981.67,877.40,972.95,940.67,860.50,925.42,1008.46,864.74,853.06,926.77,847.00,997.27,1496.63,1429.51,1476.82,1437.88,1502.78,1427.66,1457.25,1435.98,967.91,964.13,932.65,959.83,932.60,946.94,940.20,947.07,946.94,933.04,977.28,955.36,956.22,973.24,869.43,925.58,938.60,945.97,959.30,942.18,1029.87,1042.27,1006.58,952.32,1005.93,998.90,954.13,1017.87,968.71,1000.89,1026.29,949.71,1002.09,949.92,1030.69,946.91,1033.31,1008.58,955.53,996.66,1220.25,1308.35,1337.41,1221.54,1213.00,1248.79,1226.98,1223.47,1215.92,1220.47,1252.30,1220.70,1227.20,1224.85,1220.10,1221.02,1221.45,1217.40,1221.23,1239.43
none,2097152,209715200,1,986.821,620.244,956.252,1050.700,3208803272,8546328174,4667269302,1574373293,50.881,193.444,46.544,12.761,50.288,18.506,22.605,36.323,30.157,28.393,98.679,37.207,-194.103,-146.667,-102.371,-42.673,-81.973,-59.137,-1.846,-2.733,-36.422,False,969.18,996.58,1092.07,970.01,986.83,960.22,957.17,961.76,982.89,964.82,967.15,968.68,966.95,995.64,963.54,1079.16,1030.55,953.80,976.87,992.54,631.05,622.78,618.43,619.42,622.24,620.39,628.64,619.78,623.64,619.35,629.01,616.50,618.87,616.36,620.17,615.87,608.18,622.52,620.63,611.07,960.06,971.63,964.98,972.81,937.31,974.53,926.39,961.23,921.42,954.42,984.88,952.31,968.48,933.06,960.35,901.39,945.95,985.09,964.28,984.47,1042.20,1048.80,1043.60,1055.24,1070.94,1051.07,1048.03,1055.99,1048.91,1053.73,1047.18,1053.06,1057.81,1048.65,1060.66,1044.37,1048.72,1047.31,1045.94,1041.79
lz4,2097152,314572800,1,1384.828,1044.420,1039.219,1231.307,1077683002,3319719479,2257959109,1096480623,75.273,304.988,113.505,37.940,50.885,17.496,20.937,31.797,82.653,116.199,115.917,60.792,1.225,4.185,2.096,0.635,41.939,60.192,59.006,30.713,47.963,True,1378.57,1369.31,1371.93,1468.87,1425.51,1381.83,1372.02,1356.85,1362.57,1358.07,1380.33,1367.95,1348.40,1373.39,1407.76,1386.24,1369.45,1382.25,1417.24,1418.02,1062.35,1021.83,1037.59,1056.46,1024.64,1066.89,1107.72,1046.47,1051.47,1014.65,1049.50,1024.52,1017.21,1035.11,980.80,1037.58,1040.66,1038.40,1069.05,1105.49,1074.95,1094.74,1002.23,1036.88,1030.30,1064.36,1034.77,1020.95,1051.82,1089.11,1101.41,1031.01,975.81,1018.33,1008.48,1031.00,1003.93,1104.65,958.66,1050.97,1212.51,1204.06,1208.55,1233.47,1229.10,1233.95,1307.20,1230.39,1224.04,1252.31,1224.70,1224.51,1255.24,1211.85,1226.60,1238.45,1224.47,1240.22,1217.12,1227.41
lz4,2097152,209715200,1,1384.779,950.592,1009.959,1262.813,1077687656,3323846761,2258482062,1096479487,74.247,304.473,112.740,38.316,50.691,17.509,20.961,30.731,82.646,96.776,109.838,64.906,1.225,4.066,2.073,0.635,41.935,50.421,55.955,32.770,45.271,False,1357.93,1411.78,1356.70,1357.44,1352.85,1366.36,1397.66,1411.43,1359.02,1354.90,1349.85,1372.49,1393.69,1365.69,1462.49,1417.07,1366.50,1377.51,1427.06,1437.16,960.65,960.91,939.14,965.92,946.83,963.34,964.82,941.03,944.26,932.28,962.45,948.04,947.43,956.18,926.65,950.18,925.26,944.34,956.33,975.80,1010.17,1018.23,1021.05,1005.32,1004.65,1011.48,980.18,1017.62,1031.01,998.25,1045.99,1018.52,1019.95,1003.41,971.47,1014.38,997.90,1001.26,1015.01,1013.33,1202.53,1225.27,1208.31,1185.85,1211.96,1192.01,1208.64,1214.19,1301.40,1305.66,1337.71,1339.91,1296.79,1304.95,1305.50,1308.08,1322.70,1286.92,1297.25,1200.64
zstd,2097152,314572800,1,1171.924,916.250,900.601,1112.756,865816989,2541376185,1769178380,1016304525,68.247,337.617,109.656,25.030,54.410,17.630,22.019,33.328,54.572,89.668,87.117,45.310,20.644,26.650,23.289,7.900,37.608,58.159,55.203,26.605,44.394,False,1163.02,1153.26,1173.21,1188.81,1161.67,1197.22,1166.89,1174.58,1158.71,1176.73,1183.66,1168.51,1179.21,1164.22,1166.11,1160.85,1170.48,1174.99,1186.50,1169.85,918.27,921.46,916.05,913.47,925.53,904.24,919.17,925.61,911.13,899.78,921.86,911.36,899.99,916.68,926.22,927.75,935.13,913.87,911.38,906.05,928.03,904.70,914.91,866.50,874.91,879.92,978.43,876.17,919.50,870.40,879.28,872.59,865.78,878.01,933.92,947.51,879.33,977.92,880.15,884.07,1110.67,1100.08,1119.18,1119.05,1102.98,1102.52,1099.29,1108.77,1127.40,1131.89,1088.95,1127.87,1103.48,1137.54,1084.38,1104.96,1106.48,1178.20,1098.23,1103.20
zlib,2097152,314572800,1,517.485,396.394,365.581,353.179,761625251,2769904212,2074817194,1034361301,74.675,287.135,107.677,40.590,73.932,18.936,32.285,75.672,-31.746,-17.945,-24.044,-53.880,30.193,20.054,10.037,6.264,-0.776,1.055,-7.003,-23.808,-7.633,False,516.33,517.42,513.41,519.98,514.90,515.54,512.07,523.03,522.25,524.83,515.13,519.42,513.88,519.77,517.84,517.26,521.98,513.23,516.11,515.31,399.65,396.18,395.81,394.94,399.10,399.06,394.25,397.61,394.77,399.08,396.38,391.86,396.12,395.31,394.50,400.66,396.11,392.55,401.05,392.86,365.53,373.94,362.03,365.97,367.20,367.52,365.68,364.85,361.55,362.87,365.39,365.98,363.58,364.17,371.62,365.69,364.21,367.19,364.71,361.95,354.37,349.69,353.16,351.47,355.60,352.55,357.94,353.97,349.94,353.65,351.71,354.46,352.70,352.53,353.84,350.39,357.41,352.45,355.40,350.33
