compression,Page Size,Cluster Size,Cluster Bunch,throughput_atlas(MB/s),throughput_cms(MB/s),throughput_h1(MB/s),throughput_lhcb(MB/s),size_atlas(MB),size_cms(MB),size_h1(MB),size_lhcb(MB),writing_time_atlas(s),writing_time_cms(s),writing_time_h1(s),writing_time_lhcb(s),processing_time_atlas(s),processing_time_cms(s),processing_time_h1(s),processing_time_lhcb(s),throughput_increase_atlas(%),throughput_increase_cms(%),throughput_increase_h1(%),throughput_increase_lhcb(%),size_decrease_atlas(%),size_decrease_cms(%),size_decrease_h1(%),size_decrease_lhcb(%),performance_atlas(%),performance_cms(%),performance_h1(%),performance_lhcb(%),performance(%),accepted,res_atlas_0,res_atlas_1,res_atlas_2,res_atlas_3,res_atlas_4,res_atlas_5,res_atlas_6,res_atlas_7,res_atlas_8,res_atlas_9,res_atlas_10,res_atlas_11,res_atlas_12,res_atlas_13,res_atlas_14,res_atlas_15,res_atlas_16,res_atlas_17,res_atlas_18,res_atlas_19,res_cms_0,res_cms_1,res_cms_2,res_cms_3,res_cms_4,res_cms_5,res_cms_6,res_cms_7,res_cms_8,res_cms_9,res_cms_10,res_cms_11,res_cms_12,res_cms_13,res_cms_14,res_cms_15,res_cms_16,res_cms_17,res_cms_18,res_cms_19,res_h1_0,res_h1_1,res_h1_2,res_h1_3,res_h1_4,res_h1_5,res_h1_6,res_h1_7,res_h1_8,res_h1_9,res_h1_10,res_h1_11,res_h1_12,res_h1_13,res_h1_14,res_h1_15,res_h1_16,res_h1_17,res_h1_18,res_h1_19,res_lhcb_0,res_lhcb_1,res_lhcb_2,res_lhcb_3,res_lhcb_4,res_lhcb_5,res_lhcb_6,res_lhcb_7,res_lhcb_8,res_lhcb_9,res_lhcb_10,res_lhcb_11,res_lhcb_12,res_lhcb_13,res_lhcb_14,res_lhcb_15,res_lhcb_16,res_lhcb_17,res_lhcb_18,res_lhcb_19
lz4,65536,52428800,1,761.529,483.867,484.176,806.557,1091048421,3464719652,2306293718,1103484973,0.000,0.000,0.000,0.000,50.362,18.959,27.228,38.412,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,True,773.90,766.50,766.12,763.54,761.34,771.06,783.73,742.59,752.24,783.14,766.13,757.54,743.37,753.56,749.21,758.97,767.59,755.56,762.38,752.11,427.07,487.30,496.21,486.45,502.65,487.07,483.96,493.21,482.38,479.96,480.16,491.62,477.35,479.36,484.58,484.03,496.43,479.49,495.84,482.23,471.98,476.08,476.36,477.54,489.92,478.96,475.06,483.50,477.11,479.26,474.97,472.71,474.73,517.93,526.25,523.84,475.77,475.43,484.61,471.52,828.85,870.91,855.41,770.36,864.70,759.48,766.99,881.55,764.09,772.58,784.88,768.61,775.83,866.99,879.47,762.68,760.05,778.04,761.31,858.37
lz4,32768,52428800,1,917.882,291.580,423.733,840.207,1100457674,3527677525,2332219238,1107290140,63.587,305.043,95.949,27.473,51.249,21.478,30.272,37.873,20.531,-39.740,-12.484,4.172,-0.862,-1.817,-1.124,-0.345,9.834,-20.778,-6.804,1.914,-3.959,True,917.52,908.81,913.43,923.82,922.64,920.68,922.81,927.44,905.68,914.27,924.51,915.03,929.29,914.44,925.75,905.29,905.27,921.52,920.67,918.78,293.77,288.36,295.54,287.43,289.04,286.31,295.63,299.57,287.94,291.05,302.09,296.25,283.95,288.83,287.44,290.15,301.23,293.52,285.25,288.24,414.46,450.72,411.22,437.56,412.58,412.91,428.11,433.15,409.36,448.80,442.90,410.50,422.19,445.23,410.62,407.98,428.75,414.32,409.12,424.17,887.69,814.87,820.12,809.97,859.07,872.68,819.69,816.60,825.64,822.73,883.58,884.32,819.32,802.72,821.30,890.38,821.35,896.67,819.93,815.51
lz4,32768,104857600,1,887.039,316.586,412.863,994.146,1100447849,3524181103,2332481927,1107287828,65.642,291.577,94.677,26.916,50.315,20.266,30.257,36.464,16.481,-34.572,-14.729,23.258,-0.862,-1.716,-1.136,-0.345,7.810,-18.144,-7.932,11.457,-1.702,True,886.30,880.39,882.44,883.30,888.11,882.94,883.45,886.02,889.29,890.65,905.43,885.03,881.01,888.74,893.75,888.59,883.61,885.52,884.55,891.67,314.23,314.85,314.54,314.83,312.91,317.22,313.09,314.42,315.54,314.34,326.15,322.77,320.23,312.86,313.04,319.64,322.42,320.93,312.55,315.15,413.29,405.34,408.22,431.73,406.63,409.13,407.02,408.06,410.22,407.05,406.75,407.21,407.55,409.78,414.93,410.92,440.18,439.30,404.98,408.97,1004.37,984.76,992.89,1003.05,977.82,1022.52,995.16,995.77,989.99,1015.29,1014.85,979.85,1019.10,985.72,997.85,1001.78,991.81,948.18,969.14,993.03
lz4,32768,104857600,2,910.178,314.345,413.435,975.879,1100447849,3524181103,2332481927,1107287828,63.311,281.758,93.893,26.958,51.604,20.387,30.541,36.722,19.520,-35.035,-14.611,20.993,-0.862,-1.716,-1.136,-0.345,9.329,-18.376,-7.873,10.324,-1.649,True,906.22,908.65,910.93,907.00,907.27,914.04,906.48,916.40,916.92,912.36,913.72,909.58,913.68,901.91,906.16,916.18,911.37,906.78,908.58,909.34,313.05,315.36,315.37,317.99,310.34,321.88,312.92,319.71,310.65,313.42,311.94,323.30,311.37,310.81,311.72,313.21,313.87,310.87,311.59,317.51,413.85,412.01,410.17,410.51,442.64,411.90,409.19,415.12,409.09,409.54,410.21,408.93,410.58,415.43,413.16,412.34,409.49,413.42,416.76,414.35,982.28,967.40,972.87,979.72,976.99,966.91,968.71,988.43,968.84,969.57,966.36,984.44,975.71,979.75,974.56,991.96,979.50,976.37,981.70,965.53
lz4,65536,104857600,2,1018.008,464.958,577.903,1134.432,1091061487,3456185337,2306193264,1103445492,66.849,291.881,97.939,29.489,51.179,18.962,25.723,33.510,33.679,-3.908,19.358,40.651,-0.001,0.246,0.004,0.004,16.839,-1.831,9.681,20.327,11.254,True,1018.12,1017.66,1008.27,1015.55,1020.10,1021.70,1008.32,1021.95,1069.60,1026.65,1022.29,1007.35,1019.19,1015.20,995.02,1023.03,1023.77,1012.68,997.72,1015.99,463.58,466.61,467.09,468.11,459.12,461.46,464.57,467.06,462.96,463.95,463.53,468.66,464.29,468.83,459.87,464.77,463.86,463.43,462.42,474.99,571.67,636.13,571.86,570.99,578.21,628.28,574.83,571.55,571.58,570.36,572.58,567.30,567.28,579.19,567.95,569.62,572.10,574.61,574.39,567.59,1115.13,1137.57,1142.89,1136.87,1126.87,1144.96,1133.19,1138.40,1123.41,1133.25,1133.35,1161.69,1130.11,1152.84,1117.67,1135.02,1121.86,1137.95,1137.85,1127.77
lz4,131072,104857600,2,1073.851,773.300,756.244,1174.483,1085251080,3405952623,2286789061,1100867669,68.090,298.419,104.022,33.089,51.488,18.044,23.240,32.851,41.012,59.817,56.192,45.617,0.531,1.696,0.846,0.237,20.772,30.756,28.519,22.927,25.744,True,1071.14,1070.63,1072.53,1075.79,1075.32,1061.29,1078.37,1074.48,1077.93,1069.69,1082.41,1073.91,1071.60,1060.11,1069.92,1069.86,1075.72,1082.47,1085.91,1077.92,774.95,773.33,775.41,773.55,768.27,767.39,773.65,772.27,777.56,769.69,769.72,771.46,771.20,777.12,780.04,778.98,770.99,773.24,777.46,769.73,749.73,750.08,767.46,741.87,795.83,745.20,760.88,756.13,739.93,740.09,795.72,742.06,774.99,742.28,796.91,756.74,737.50,742.36,742.46,746.65,1160.17,1148.90,1182.91,1149.22,1173.17,1190.78,1163.46,1184.37,1176.64,1171.52,1167.46,1187.69,1183.88,1169.93,1187.79,1177.13,1169.84,1180.45,1182.75,1181.59
lz4,262144,104857600,2,1208.190,841.334,796.537,1220.682,1081421738,3371871562,2272685626,1099061235,70.456,303.929,107.910,35.224,50.024,17.927,22.766,31.745,58.653,73.877,64.514,51.345,0.882,2.680,1.457,0.401,29.768,38.278,32.986,25.873,31.726,True,1219.92,1164.88,1211.72,1181.62,1194.18,1217.90,1197.84,1206.26,1202.39,1207.72,1219.91,1198.28,1230.47,1247.11,1227.65,1172.65,1204.41,1222.22,1236.80,1199.86,833.27,846.86,844.03,845.23,844.96,845.76,836.68,826.30,842.05,846.75,841.97,838.94,837.10,843.80,840.09,848.01,843.60,842.27,848.19,830.83,792.08,787.57,804.98,781.46,804.81,779.84,776.07,810.14,775.76,789.66,805.32,812.64,806.84,831.43,802.97,795.51,789.56,784.38,792.57,807.13,1177.57,1219.62,1228.01,1217.55,1226.99,1219.02,1197.19,1237.28,1219.36,1201.81,1254.72,1219.35,1227.71,1206.72,1222.23,1224.49,1235.79,1215.91,1207.05,1255.27
lz4,262144,104857600,3,1200.866,840.010,787.626,1222.920,1081421738,3371871562,2272685626,1099061235,71.408,307.907,106.909,35.009,50.855,17.985,23.021,32.199,57.691,73.603,62.674,51.622,0.882,2.680,1.457,0.401,29.287,38.142,32.065,26.012,31.376,True,1168.34,1201.78,1187.41,1160.84,1219.73,1256.22,1231.10,1219.01,1184.82,1172.71,1212.71,1189.41,1221.89,1216.45,1169.12,1216.88,1191.55,1214.73,1197.47,1185.12,839.99,840.63,837.42,833.86,834.98,838.49,840.66,837.90,844.73,840.75,838.14,841.89,836.80,837.86,839.83,844.33,839.33,851.42,840.85,840.33,769.30,757.72,818.77,774.69,791.13,798.55,774.23,787.77,767.73,825.27,795.89,760.58,767.39,794.68,791.43,774.99,792.41,796.52,797.60,815.84,1229.48,1233.82,1236.67,1208.89,1230.35,1222.33,1206.30,1216.39,1263.53,1207.80,1213.85,1219.26,1195.52,1222.88,1204.32,1241.90,1222.43,1233.50,1221.24,1227.96
lz4,262144,52428800,3,1227.967,622.896,828.749,1180.553,1081420255,3385377777,2272736473,1098976574,70.917,313.230,107.262,36.172,50.906,18.662,22.407,32.087,61.250,28.733,71.167,46.370,0.882,2.290,1.455,0.409,31.066,15.511,36.311,23.389,26.569,False,1207.89,1192.73,1266.24,1228.56,1203.13,1236.52,1232.70,1251.06,1213.34,1245.61,1222.01,1244.88,1201.62,1225.89,1222.42,1217.28,1242.42,1248.58,1227.25,1229.20,620.75,623.87,621.39,624.91,629.17,620.78,624.30,617.66,620.42,621.23,630.07,622.26,621.68,623.49,624.57,627.03,615.73,628.81,624.27,615.55,822.31,856.09,820.75,841.97,822.34,816.71,808.81,820.56,806.29,818.52,890.74,826.30,811.27,829.30,854.34,823.78,849.23,821.25,811.39,823.02,1182.44,1175.09,1175.71,1198.48,1196.23,1189.94,1159.63,1177.30,1213.84,1169.40,1180.79,1163.22,1195.69,1155.44,1174.59,1153.28,1206.74,1175.64,1175.70,1191.90
lz4,524288,104857600,3,1283.523,868.555,862.567,1220.981,1079200433,3349585070,2264147157,1097688171,71.707,312.899,110.121,36.120,51.020,17.944,22.226,31.853,68.545,79.503,78.152,51.382,1.086,3.323,1.827,0.525,34.816,41.413,39.990,25.954,35.543,True,1285.55,1023.46,1236.37,1293.25,1287.44,1300.82,1307.22,1298.64,1293.18,1316.08,1307.03,1304.62,1291.39,1283.35,1293.46,1315.65,1313.30,1327.60,1288.89,1303.18,884.59,868.77,875.95,860.24,877.53,860.22,872.75,862.85,879.26,861.03,869.06,883.05,859.26,862.03,869.80,861.58,870.55,858.21,865.68,868.72,843.57,846.89,864.55,865.86,859.98,899.36,866.42,870.60,844.31,860.98,864.60,850.61,877.00,849.10,864.84,845.72,878.31,858.72,865.62,874.29,1209.67,1246.79,1242.97,1217.73,1230.06,1205.46,1214.94,1222.40,1226.25,1185.45,1225.40,1241.54,1216.77,1212.07,1217.96,1215.45,1219.81,1210.68,1237.90,1220.30
