compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),throughput_increase(%),size_decrease(%),performance(%),accepted,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9
lz4,524288,314572800,1,1348.01,1079211836,71.379,1.085,36.232,False,1342.1,1375.9,1355.9,1348.2,1341.7,1323.4,1356.3,1331.9,1362.8,1341.8
lz4,1048576,209715200,1,1348.67,1078256127,71.463,1.172,36.318,False,1340.7,1348.0,1338.1,1352.2,1349.2,1347.6,1359.4,1347.7,1357.7,1346.1
lz4,524288,209715200,2,1094.85,1079196618,39.193,1.086,20.14,False,1394.0,1191.1,1182.9,967.0,1051.9,1059.7,1033.1,1011.6,977.6,1079.6
zstd,524288,209715200,1,1180.88,866519656,50.131,20.579,35.355,False,1180.6,1181.3,1167.3,1175.9,1170.4,1173.3,1170.6,1160.0,1180.6,1248.7
lzma,524288,209715200,1,98.45,615072963,-87.484,43.626,-21.929,False,97.7,98.1,98.0,98.6,98.9,98.4,98.8,98.4,98.9,98.6
lz4,524288,104857600,1,1352.46,1079200433,71.944,1.086,36.515,False,1334.6,1333.9,1364.2,1332.0,1364.3,1362.7,1387.7,1346.7,1344.2,1354.3
lz4,262144,209715200,1,1259.78,1081421935,60.161,0.882,30.522,False,1259.7,1264.3,1246.4,1259.6,1270.6,1261.9,1257.3,1249.9,1257.9,1270.1
lzma,524288,209715200,1,98.77,615072963,-87.443,43.626,-21.909,False,98.7,98.7,98.8,99.2,97.8,99.4,98.7,99.0,98.9,98.6
none,524288,209715200,1,1001.95,3209199640,27.383,-194.139,-83.378,False,995.2,1056.4,991.3,993.7,1003.2,990.1,1001.3,1004.7,991.5,992.1
lz4,524288,209715200,2,1072.85,1079196618,36.396,1.086,18.741,False,1133.4,961.5,1008.0,1461.2,1103.8,1073.8,956.3,1094.6,963.1,972.8
lz4,524288,104857600,1,1356.47,1079200433,72.455,1.086,36.77,False,1350.6,1368.8,1354.3,1371.4,1342.3,1348.9,1364.9,1349.1,1368.1,1346.4
zstd,524288,209715200,1,1215.51,866519656,54.533,20.579,37.556,True,1167.3,1249.6,1246.4,1234.6,1282.4,1245.7,1182.4,1177.5,1191.3,1177.9
zstd,524288,104857600,1,1156.41,866554332,47.02,20.576,33.798,False,1158.4,1155.7,1164.5,1161.1,1141.7,1148.2,1157.1,1155.2,1159.1,1163.2
lz4,524288,209715200,1,1363.15,1079196618,73.304,1.086,37.195,True,1357.3,1335.5,1344.7,1374.1,1386.0,1342.3,1358.6,1371.3,1387.3,1374.4
lz4,524288,209715200,2,997.04,1079196618,26.758,1.086,13.922,False,950.8,947.3,946.4,1060.3,1183.1,935.4,1040.0,1040.9,1035.4,830.9
lz4,1048576,209715200,1,1425.39,1078256127,81.216,1.172,41.194,True,1354.9,1375.3,1424.1,1434.3,1447.3,1434.2,1425.4,1429.5,1433.9,1495.1
none,1048576,209715200,1,1045.79,3208968920,32.956,-194.118,-80.581,False,1030.4,1044.5,1050.5,1050.0,1070.5,1051.5,1040.4,1038.2,1035.9,1046.1
lz4,1048576,314572800,1,1363.69,1078267794,73.372,1.171,37.272,False,1383.0,1362.9,1367.8,1365.8,1358.5,1367.4,1349.7,1365.6,1347.7,1368.6
lz4,1048576,209715200,2,1320.76,1078256127,67.914,1.172,34.543,False,1321.9,1335.5,1334.6,1309.2,1313.8,1325.3,1290.1,1335.3,1328.5,1313.1
zlib,1048576,209715200,1,512.33,762574396,-34.865,30.106,-2.379,False,516.4,509.1,517.9,513.2,507.1,514.0,511.0,509.9,513.0,511.8
zlib,1048576,209715200,1,515.75,762574396,-34.43,30.106,-2.162,False,505.5,519.0,517.2,515.6,513.2,511.8,518.2,517.2,516.0,523.9
lz4,1048576,314572800,1,1357.82,1078267794,72.626,1.171,36.899,False,1357.0,1365.7,1356.4,1370.5,1333.9,1363.6,1360.9,1348.7,1369.0,1352.6
lz4,1048576,209715200,2,1322.12,1078256127,68.087,1.172,34.63,False,1338.9,1318.6,1321.4,1332.0,1316.9,1339.0,1315.5,1327.2,1296.8,1314.9
lz4,1048576,314572800,1,1364.97,1078267794,73.534,1.171,37.353,False,1360.3,1358.9,1365.5,1366.6,1350.1,1379.0,1359.8,1355.3,1396.6,1357.7
lz4,1048576,314572800,1,1377.95,1078267794,75.185,1.171,38.178,False,1377.3,1382.7,1379.5,1376.4,1415.8,1380.0,1348.4,1380.5,1381.6,1357.4
lz4,1048576,209715200,2,1235.9,1078256127,57.126,1.172,29.149,False,1301.2,1334.0,1299.9,1313.5,1319.9,1322.6,1313.6,1108.0,1021.7,1024.6
lz4,1048576,104857600,1,1357.11,1078256406,72.535,1.172,36.854,False,1370.1,1353.1,1361.4,1372.7,1358.6,1346.4,1347.2,1354.7,1343.6,1363.3
lz4,1048576,314572800,1,1383.63,1078267794,75.907,1.171,38.539,False,1383.1,1391.2,1394.9,1369.5,1373.6,1382.8,1382.1,1389.0,1385.0,1385.2
lz4,524288,209715200,1,1372.32,1079196618,74.47,1.086,37.778,False,1361.8,1369.6,1398.4,1342.0,1355.9,1354.9,1375.2,1392.8,1383.8,1389.0
lz4,1048576,314572800,1,1358.69,1078267794,72.737,1.171,36.954,False,1360.3,1363.0,1352.7,1358.1,1351.4,1353.9,1375.0,1352.3,1358.7,1361.5
lz4,524288,209715200,1,1362.12,1079196618,73.173,1.086,37.13,False,1354.5,1350.0,1348.3,1364.7,1358.8,1376.6,1368.0,1355.6,1394.0,1350.7
lz4,2097152,209715200,1,1481.91,1077687656,88.402,1.225,44.813,True,1478.4,1485.0,1514.7,1464.4,1474.7,1479.6,1468.8,1489.4,1476.7,1487.4
lz4,2097152,104857600,1,1481.42,1077688922,88.339,1.224,44.782,True,1472.1,1488.8,1507.7,1478.6,1464.0,1471.2,1482.5,1481.6,1491.6,1476.1
lz4,2097152,104857600,2,1194.55,1077688922,51.868,1.224,26.546,False,1484.8,1464.0,1383.9,1218.5,1232.7,1030.5,1075.4,974.9,999.8,1081.0
zstd,2097152,104857600,1,1204.79,865771122,53.17,20.648,36.909,False,1197.7,1197.0,1207.0,1201.7,1202.1,1213.7,1220.9,1200.2,1210.8,1196.9
lz4,2097152,104857600,2,1311.5,1077688922,66.737,1.224,33.981,False,1476.1,1475.4,1471.3,1492.2,1431.6,1326.9,1139.8,1215.5,1046.4,1039.9
lz4,2097152,104857600,2,1488.71,1077688922,89.267,1.224,45.246,True,1474.8,1478.1,1477.8,1513.0,1472.9,1491.0,1489.8,1499.0,1490.8,1500.0
none,2097152,104857600,2,1190.21,3208886494,51.316,-194.11,-71.397,False,1199.6,1174.8,1198.2,1189.4,1189.5,1174.4,1188.4,1198.6,1203.1,1186.2
lzma,2097152,104857600,2,107.11,610419621,-86.383,44.052,-21.165,False,106.4,107.2,107.9,106.7,107.0,107.6,106.8,107.1,107.2,107.2
zlib,2097152,104857600,2,529.1,761636174,-32.733,30.192,-1.27,False,506.6,532.8,530.0,526.9,531.8,532.6,536.0,534.7,528.8,530.9
