compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),throughput_increase(%),size_increase(%),performance(%),accepted,res_0
lz4,65536,52428800,1,844.06,1091048421,0.000,0.000,0.000,True,844.1
lz4,65536,41943040,1,864.29,1091066892,2.396,0.002,1.197,True,864.3
