compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),throughput_increase(%),size_decrease(%),performance(%),accepted,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9
lz4,65536,52428800,1,854.18,1091048421,0.0,-0.0,0.0,True,845.5,853.4,862.1,860.1,854.0,846.9,849.7,852.4,862.6,855.0
lz4,65536,52428800,2,843.99,1091048421,-1.192,-0.0,-0.596,True,839.8,841.9,841.1,842.0,842.9,841.7,848.4,847.3,843.0,851.8
lz4,131072,52428800,2,891.75,1085246806,4.399,0.532,2.465,True,890.9,891.3,888.4,891.1,892.0,894.3,892.2,892.7,891.9,892.6
lz4,65536,52428800,2,751.05,1091048421,-12.073,-0.0,-6.036,False,785.2,714.7,683.0,713.5,664.3,771.4,637.0,848.0,847.4,845.9
lz4,131072,41943040,2,913.75,1085114302,6.974,0.544,3.759,True,914.8,914.8,917.2,913.9,915.5,915.5,914.8,912.2,916.2,902.5
lz4,65536,41943040,2,869.79,1091066892,1.828,-0.002,0.913,False,869.4,873.1,866.3,860.8,866.2,867.5,881.7,870.9,872.1,869.8
lzma,131072,41943040,2,73.78,627601427,-91.363,42.477,-24.443,False,74.4,73.9,73.5,73.5,74.1,73.6,73.7,73.8,73.5,73.9
lz4,131072,41943040,3,885.3,1085114302,3.644,0.544,2.094,False,922.7,926.6,930.0,711.8,737.9,923.8,924.2,924.1,922.6,929.5
lz4,131072,31457280,2,920.48,1085230528,7.762,0.533,4.148,True,907.6,917.9,921.9,919.8,923.4,917.5,923.8,926.0,921.8,925.0
lz4,65536,31457280,2,867.87,1091210596,1.603,-0.015,0.794,False,859.7,863.9,862.5,860.1,869.5,863.9,865.4,868.0,905.3,860.5
lz4,131072,31457280,3,919.81,1085230528,7.684,0.533,4.109,True,912.8,925.7,917.1,922.2,917.1,922.0,926.8,913.2,923.4,917.8
lz4,131072,41943040,3,922.28,1085114302,7.973,0.544,4.258,True,917.9,920.9,925.1,923.3,918.9,926.7,925.3,923.7,920.7,920.2
lz4,131072,41943040,2,924.58,1085114302,8.243,0.544,4.393,True,920.1,927.5,918.6,926.1,923.7,924.8,929.1,922.9,925.6,927.4
zlib,131072,41943040,2,424.54,767091911,-50.298,29.692,-10.303,False,424.2,428.9,428.3,378.2,432.7,431.3,430.9,430.2,428.5,432.3
lz4,65536,41943040,2,876.67,1091066892,2.634,-0.002,1.316,False,863.8,871.8,877.8,883.8,881.0,878.3,874.3,882.9,874.1,878.8
lz4,131072,52428800,2,742.29,1085246806,-13.099,0.532,-6.284,False,799.9,799.2,713.1,672.3,663.3,662.0,652.3,636.8,911.4,912.4
lz4,131072,41943040,3,861.99,1085114302,0.915,0.544,0.73,False,910.6,807.2,798.1,730.5,743.7,925.5,932.0,925.3,921.0,926.1
