time,number_of_changes,compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),throughput_increase(%),size_decrease(%),performance(%),accepted,writing_time,processing_time,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,res_13,res_14,res_15,res_16,res_17,res_18,res_19
23-04-19_17:16:34,0,lz4,65536,52428800,1,771.68,1091048421,0.000,0.000,0.000,True,0.000,52.852,770.5,765.3,772.5,777.9,772.6,775.6,771.9,774.1,778.8,771.7,773.7,771.8,776.9,774.0,763.1,771.6,762.1,773.4,772.8,763.2
23-04-19_17:18:33,2,zstd,65536,104857600,1,849.22,874242246,10.048,19.871,14.960,True,64.960,54.097,842.3,844.1,847.4,853.6,849.1,862.6,844.8,859.0,849.8,848.0,848.8,847.7,849.7,841.8,847.4,847.2,851.7,849.5,852.1,847.7
23-04-19_17:20:34,1,zstd,65536,209715200,1,868.52,874241522,12.550,19.871,16.211,True,65.809,54.675,856.0,861.8,875.4,852.9,876.1,848.9,880.2,880.5,881.2,856.9,860.4,858.8,875.8,888.4,856.8,874.7,881.0,876.3,874.9,853.2
23-04-19_17:31:09,3,lzma,32768,314572800,1,45.25,663979328,-94.136,39.143,-27.496,False,215.867,419.478,45.1,45.4,45.3,45.3,45.4,45.0,45.4,45.3,45.4,45.4,45.4,45.4,45.2,45.3,45.2,44.7,45.3,45.4,44.7,45.5
23-04-19_17:33:05,2,lz4,65536,209715200,2,1015.78,1091065632,31.633,-0.002,15.815,True,65.431,50.441,1023.9,1028.4,1011.2,1026.5,1029.7,1027.0,998.9,1022.9,1023.9,1023.7,995.2,1019.0,997.6,994.7,1037.7,999.7,1023.4,1019.4,999.9,1012.8
23-04-19_17:34:58,2,lz4,32768,104857600,2,906.86,1100447849,17.519,-0.862,8.329,False,62.088,50.805,891.0,908.3,906.7,907.0,910.6,907.4,910.1,920.0,899.2,908.1,920.9,918.3,908.5,910.7,914.5,898.1,901.6,891.4,902.7,902.1
23-04-19_17:36:53,2,lz4,32768,314572800,2,881.15,1100450106,14.187,-0.862,6.662,False,63.486,51.360,890.9,889.5,895.2,883.6,899.1,896.4,893.7,882.4,895.9,881.4,901.2,801.5,792.6,883.0,889.8,886.4,890.8,898.2,882.9,888.6
23-04-19_17:38:48,1,lz4,65536,104857600,2,990.61,1091061487,28.371,-0.001,14.185,False,62.795,51.478,981.4,979.9,989.1,982.0,994.6,1000.8,994.6,989.6,984.5,992.5,1006.4,992.3,986.8,983.0,992.9,989.7,985.6,995.4,997.0,994.3
23-04-19_17:40:42,2,lz4,32768,209715200,3,870.56,1100447581,12.815,-0.861,5.977,False,62.343,51.632,825.7,817.2,728.2,891.0,885.1,887.6,881.6,885.2,881.2,889.0,885.8,883.9,880.2,883.4,882.0,888.0,886.5,889.1,879.9,880.7
23-04-19_17:42:41,3,lz4,131072,314572800,3,1033.74,1085261421,33.961,0.530,17.246,True,68.270,50.947,879.4,877.4,1056.4,1048.7,1053.0,1047.6,1054.8,1047.5,1046.3,1052.5,1054.0,1052.3,1051.0,1055.3,1042.2,1041.7,1056.1,1052.5,1053.5,1052.6
23-04-19_17:50:53,3,lzma,131072,209715200,2,75.58,627828645,-90.206,42.456,-23.875,False,224.682,267.433,75.4,76.1,75.1,75.2,75.6,75.1,75.9,76.3,75.2,76.0,75.1,76.1,75.9,75.9,75.0,75.6,75.6,75.7,75.8,75.1
23-04-19_17:52:53,1,lz4,131072,314572800,2,1025.06,1085261421,32.835,0.530,16.683,True,67.220,52.478,1089.0,1094.1,960.3,947.3,1086.9,951.3,1065.1,1090.8,957.0,1053.8,1073.9,945.6,945.3,1092.5,1051.6,1071.6,953.5,934.2,1047.9,1089.3
23-04-19_17:54:53,1,lz4,131072,419430400,2,1062.85,1085261421,37.733,0.530,19.132,True,68.988,50.551,1063.2,1064.6,1069.5,1060.2,1068.9,1061.1,1064.3,1041.8,1068.5,1066.5,1062.4,1060.4,1061.6,1061.8,1063.8,1054.6,1072.9,1053.7,1073.4,1063.8
23-04-19_17:56:51,1,lz4,131072,419430400,3,1023.76,1085261421,32.668,0.530,16.599,False,67.705,51.157,867.1,791.8,1046.8,1043.4,1047.9,1049.8,1040.7,1043.0,1041.2,1046.0,1039.0,1047.7,1046.2,1041.6,1043.4,1056.6,1047.0,1047.8,1042.1,1046.3
23-04-19_17:58:50,1,lz4,131072,524288000,2,1049.90,1085261421,36.055,0.530,18.293,False,67.207,51.599,1011.8,1064.9,1083.2,1088.1,978.2,1087.2,1063.4,957.2,1064.1,1070.7,960.8,1083.5,952.4,1088.5,1083.5,1078.2,1085.1,1087.8,1065.2,1044.3
23-04-19_18:00:53,1,lz4,262144,419430400,2,1108.12,1081433460,43.599,0.881,22.240,True,71.703,51.292,1206.5,1191.0,1196.2,1163.4,1121.9,1141.4,1117.7,1089.7,1064.8,1106.5,1103.2,1062.8,1081.5,1061.7,1053.3,1088.0,1027.6,1050.8,1018.7,1215.6
23-04-19_18:03:18,4,zlib,524288,314572800,1,432.09,763347840,-44.006,30.035,-6.985,False,72.062,72.490,505.9,485.6,468.7,455.6,452.6,445.3,446.2,433.1,434.1,422.1,426.4,416.8,411.3,412.4,408.3,413.8,394.4,406.7,397.9,404.4
23-04-19_18:05:19,2,lz4,524288,314572800,2,1297.58,1079211836,68.150,1.085,34.618,True,70.669,50.129,1292.4,1290.8,1375.8,1337.0,1295.6,1304.7,1260.5,1283.5,1280.1,1299.2,1307.1,1313.3,1269.4,1301.1,1283.3,1306.0,1276.7,1316.9,1280.0,1278.1
