time,number_of_changes,compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),throughput_increase(%),size_decrease(%),performance(%),accepted,writing_time,processing_time,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,res_13,res_14,res_15,res_16,res_17,res_18,res_19
23-04-20_13:26:05,1,lz4,1048576,20971520,1,1532.34,1078480886,96.882,1.152,49.017,False,74.019,49.760,1491.2,1436.1,1468.8,1484.9,1456.8,1435.6,1452.1,1595.3,1461.4,1603.4,1563.7,1607.3,1603.7,1465.5,1605.9,1562.2,1549.6,1660.1,1570.5,1572.9
23-04-20_13:28:07,2,lz4,1048576,31457280,1,1375.43,1078353583,76.722,1.164,38.943,False,72.545,50.011,1372.9,1435.9,1375.6,1365.1,1353.8,1459.7,1370.5,1360.6,1362.7,1352.1,1394.8,1375.6,1362.4,1345.2,1356.0,1390.7,1342.9,1376.5,1369.5,1386.4
23-04-20_13:30:14,1,lz4,1048576,31457280,2,1362.26,1078353583,75.030,1.164,38.097,False,74.671,51.524,1355.3,1359.8,1402.6,1332.8,1357.8,1402.8,1351.7,1344.9,1363.7,1347.8,1339.7,1398.5,1365.4,1360.4,1364.0,1370.9,1359.3,1361.6,1362.9,1343.4
23-04-20_13:32:18,2,lz4,1048576,31457280,1,1359.14,1078353583,74.629,1.164,37.896,False,73.646,50.781,1347.7,1357.6,1359.8,1347.1,1364.8,1347.1,1350.6,1358.5,1364.7,1362.8,1361.8,1355.4,1351.3,1391.0,1351.6,1372.0,1353.3,1364.0,1359.9,1361.9
23-04-20_13:33:57,4,none,2097152,31457280,1,1063.40,3209543005,36.631,-194.171,-78.770,False,49.860,49.151,1045.6,1051.9,1065.1,1061.5,1067.7,1050.0,1145.4,1060.2,1066.0,1061.8,1059.7,1052.6,1045.2,1062.0,1124.4,1067.6,1063.2,1043.6,1051.4,1022.9
23-04-20_13:35:59,1,zstd,1048576,20971520,2,1207.09,864455432,55.093,20.768,37.930,False,67.175,54.701,1206.2,1233.7,1199.3,1170.7,1196.2,1209.0,1222.5,1202.9,1227.1,1207.6,1206.1,1203.7,1206.1,1213.9,1214.9,1197.4,1200.4,1212.5,1194.0,1217.6
23-04-20_13:37:39,1,none,1048576,20971520,2,1069.28,3210014643,37.386,-194.214,-78.414,False,50.178,49.535,1101.0,1043.3,1056.8,1098.5,1067.4,1019.8,1041.6,1074.3,1078.7,1069.0,1052.7,1090.5,1066.2,1071.9,1088.8,1071.0,1100.3,1067.4,1071.1,1055.3
23-04-20_13:39:21,3,none,1048576,31457280,3,1133.93,3209543005,45.693,-194.171,-74.239,False,51.515,49.996,1143.1,1104.3,1121.8,1136.9,1138.9,1163.7,1138.1,1180.6,1097.9,1150.9,1118.4,1124.9,1157.3,1133.4,1116.8,1135.1,1125.9,1122.3,1122.9,1145.3
23-04-20_13:47:21,2,lzma,2097152,20971520,2,102.35,610994030,-86.850,43.999,-21.425,False,268.573,211.469,101.1,101.4,101.9,101.6,102.1,101.9,102.3,102.1,102.0,102.1,102.4,102.4,103.2,103.8,103.0,102.3,103.7,102.3,102.7,102.6
23-04-20_13:49:26,1,lz4,1048576,31457280,2,1333.25,1078353583,71.302,1.164,36.233,False,73.156,51.997,1293.1,1345.6,1325.1,1306.6,1307.8,1296.1,1418.1,1327.4,1314.7,1322.8,1373.9,1303.9,1308.6,1317.7,1310.0,1316.4,1307.8,1330.6,1429.3,1409.5
