time,number_of_changes,compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),throughput_increase(%),size_decrease(%),performance(%),accepted,writing_time,processing_time,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,res_13,res_14,res_15,res_16,res_17,res_18,res_19
23-04-21_06:27:09,0,lz4,65536,52428800,1,483.81,2306293718,0.000,0.000,0.000,True,0.000,26.828,479.9,486.5,537.1,485.0,480.2,484.3,476.8,465.6,482.8,482.4,482.5,476.4,484.6,478.7,481.9,478.6,491.7,479.3,483.1,478.8
23-04-21_06:44:07,4,lzma,32768,41943040,2,39.09,1882943643,-91.921,18.356,-36.782,False,842.963,175.256,38.9,39.4,38.9,39.1,39.2,39.2,38.9,39.0,39.2,39.2,39.3,39.2,38.9,39.1,39.2,39.3,39.1,38.4,38.8,39.4
23-04-21_06:46:08,1,lz4,65536,104857600,1,575.77,2306193264,19.007,0.004,9.506,True,95.529,25.105,569.9,603.1,637.8,573.7,573.9,577.2,573.7,578.1,553.5,579.4,569.2,572.6,577.4,574.8,570.4,550.9,576.9,562.6,564.4,575.9
23-04-21_06:48:13,1,lz4,131072,104857600,1,727.55,2286789061,50.381,0.846,25.613,True,102.689,22.951,717.8,727.9,724.5,736.0,713.9,733.8,731.6,733.0,729.5,731.3,733.2,723.1,722.2,717.1,723.5,726.5,734.7,736.4,732.2,722.6
23-04-21_07:05:31,3,lzma,131072,209715200,2,44.62,1830878336,-90.778,20.614,-35.082,False,874.566,162.796,44.9,44.7,44.6,44.6,44.2,44.6,44.3,44.4,44.9,44.4,44.8,44.7,44.6,44.5,44.8,44.6,44.8,44.5,44.9,44.5
23-04-21_07:07:41,3,zlib,65536,52428800,1,280.28,2115611277,-42.068,8.268,-16.900,False,96.662,33.255,282.1,281.6,277.9,281.4,279.0,281.7,282.6,281.7,281.6,280.8,282.3,277.8,280.3,277.2,281.9,278.0,282.3,276.8,282.4,276.1
23-04-21_07:09:50,3,lz4,262144,209715200,2,783.25,2272684063,61.893,1.457,31.675,True,106.355,22.805,763.5,787.3,786.7,778.0,777.5,771.7,799.9,761.5,786.8,785.0,796.5,787.9,785.5,777.7,789.9,775.8,789.5,788.2,785.2,791.0
23-04-21_07:12:44,3,zstd,131072,209715200,3,588.09,1993354258,21.555,13.569,17.562,False,149.321,24.729,584.5,593.0,612.2,580.4,583.8,613.5,588.0,591.0,597.1,580.3,584.3,594.0,584.3,584.1,581.5,583.5,581.5,578.5,590.0,576.4
23-04-21_07:14:58,1,lz4,262144,104857600,2,812.12,2272685626,67.860,1.457,34.658,True,112.188,22.332,795.4,798.5,810.9,791.9,790.0,802.0,820.3,835.9,799.1,802.0,795.5,802.5,875.7,791.8,781.5,797.4,876.1,800.9,883.8,791.2
23-04-21_07:17:08,1,lz4,262144,209715200,2,767.77,2272684063,58.693,1.457,30.075,False,106.551,23.072,763.8,765.3,762.2,757.5,764.4,764.3,770.1,773.3,765.8,770.0,770.3,741.2,760.6,767.8,767.1,758.2,764.5,775.6,822.2,770.9
