time,number_of_changes,compression,Page Size,Cluster Size,Cluster Bunch,throughput(MB/s),size(MB),throughput_increase(%),size_decrease(%),performance(%),accepted,writing_time,processing_time,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,res_13,res_14,res_15,res_16,res_17,res_18,res_19
23-04-20_03:01:06,0,lz4,65536,52428800,1,491.89,2306293718,0.000,0.000,0.000,True,0.000,26.833,533.4,521.0,475.3,482.3,485.4,482.8,476.7,536.1,536.5,481.2,487.5,475.8,483.8,483.3,483.4,481.9,490.8,482.6,481.4,476.8
23-04-20_03:03:18,2,zlib,65536,104857600,1,280.40,2115667756,-42.996,8.265,-17.365,False,98.202,33.630,277.8,277.6,282.5,279.5,278.5,278.9,283.7,277.0,281.4,283.2,276.2,282.6,283.5,280.3,282.0,283.2,282.7,276.4,277.5,283.4
23-04-20_03:05:23,2,lz4,131072,52428800,2,728.24,2286739546,48.050,0.848,24.449,True,102.099,22.848,724.9,729.5,732.8,725.8,730.9,714.6,723.3,728.3,724.3,711.4,806.1,730.9,721.5,731.9,714.5,729.1,728.1,723.4,716.9,716.8
23-04-20_03:07:28,1,lz4,131072,41943040,2,669.78,2288603455,36.165,0.767,18.466,False,100.990,23.284,672.5,664.2,674.3,679.5,659.2,669.5,661.8,667.2,669.4,667.5,673.9,673.0,669.5,669.0,671.4,669.7,676.6,670.9,671.2,665.3
23-04-20_03:24:57,4,lzma,262144,104857600,3,44.83,1816834438,-90.886,21.223,-34.831,False,888.048,161.184,44.6,44.9,45.1,45.1,44.7,45.4,44.6,45.2,45.0,44.9,44.5,44.9,44.9,45.0,44.5,44.8,44.6,44.5,45.0,44.5
23-04-20_03:26:07,3,none,131072,104857600,1,805.56,4669208970,63.769,-102.455,-19.343,False,45.655,24.363,804.8,802.3,800.6,805.6,810.0,805.8,804.5,808.3,803.9,802.9,809.5,806.2,809.2,806.9,805.7,806.6,803.5,809.3,801.3,804.3
23-04-20_03:28:21,1,zlib,131072,52428800,2,313.43,2097381048,-36.281,9.058,-13.611,False,101.821,32.593,311.4,315.6,309.3,314.0,313.9,315.3,311.2,313.9,313.5,316.0,314.3,313.5,315.4,314.9,309.8,312.8,315.4,314.5,310.6,313.1
23-04-20_03:30:27,2,lz4,131072,41943040,1,684.56,2288603455,39.170,0.767,19.968,False,102.816,23.016,697.8,695.3,676.8,676.7,683.1,689.3,680.3,680.8,693.4,698.9,678.5,692.9,689.8,680.7,675.9,682.2,675.1,676.2,675.8,691.9
23-04-20_03:33:20,2,zstd,131072,104857600,2,593.55,1993739903,20.668,13.552,17.110,False,149.279,23.146,599.6,596.8,586.0,589.1,588.2,594.4,589.2,596.3,600.6,597.6,586.1,594.5,593.7,598.3,586.1,597.3,587.3,590.9,598.9,600.3
23-04-20_03:34:30,3,none,131072,41943040,1,707.21,4669478438,43.775,-102.467,-29.346,False,45.036,25.570,706.7,706.0,710.7,699.1,713.0,707.9,705.1,710.6,706.7,710.0,707.6,706.1,707.8,709.5,707.0,707.4,704.5,705.0,702.9,710.8
23-04-20_03:36:41,2,zlib,65536,52428800,2,276.72,2115611277,-43.744,8.268,-17.738,False,97.203,33.714,273.5,280.7,272.7,274.6,273.5,274.2,272.9,278.4,280.5,271.8,274.4,272.8,281.2,280.4,279.0,281.1,275.0,279.9,277.6,280.0
23-04-20_03:38:46,2,lz4,131072,41943040,3,730.11,2288603455,48.431,0.767,24.599,True,101.918,22.962,713.2,724.0,738.9,713.7,733.5,724.7,729.8,731.4,733.2,721.8,736.6,735.9,739.8,737.9,734.6,739.3,716.3,739.6,733.9,724.4
