compression,Page Size,Cluster Size,Cluster Bunch,res_mean,res_std,success,res_0,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9
lz4,65536,52428800,1,886.58,4.46,True,886.0,886.8,894.6,887.0,885.7,882.1,877.1,890.9,887.1,888.4
lz4,131072,52428800,1,1327.53,29.19,True,1319.6,1359.2,1338.1,1293.0,1273.0,1339.2,1296.1,1363.3,1343.0,1350.7
lz4,262144,52428800,1,1414.18,17.73,True,1414.5,1438.9,1420.8,1427.1,1387.6,1382.5,1405.1,1421.8,1408.3,1435.0
